thai,romanization,english,breakdown,difficulty
สำหรับเรื่องนี้ ฉันเห็นด้วย,samrap rueang ni chan hen duai,"As for this matter, I agree.","[{""thai"":""สำหรับ"",""english"":""as for"",""grammar"":true,""romanization"":""samrap""},{""thai"":""เรื่องนี้"",""english"":""this matter"",""romanization"":""rueang ni""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""เห็นด้วย"",""english"":""agree"",""tones"":[""rising"",""falling""],""romanization"":""hěn dûai""}]",hard
สำหรับฉัน เรื่องนี้ยังเร็วไป,"samrap chan, rueang nii yang reo bpai","As for me, this matter is still too early.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""เรื่องนี้ยังเร็วไป"",""english"":""this matter is still too early"",""tones"":[""falling"",""high"",""mid"",""mid"",""mid""],""romanization"":""rueang nii yang reo bpai""}]",hard
สำหรับลูกค้าใหม่ ขั้นตอนนี้อาจยาก,"samrap luuk-khaa mai, khan-dtaawn nii aat yaak","For new customers, this step may be difficult.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""ลูกค้าใหม่"",""english"":""new customers"",""tones"":[""high"",""high"",""falling""],""romanization"":""luuk-khaa mai""},{""thai"":""ขั้นตอนนี้อาจยาก"",""english"":""this step may be difficult"",""tones"":[""falling"",""falling"",""high"",""low"",""falling""],""romanization"":""khan-dtaawn nii aat yaak""}]",hard
สำหรับทีมเรา เป้าหมายปีนี้ชัดมาก,"samrap thiim rao, bpao-maai bpii nii chat maak","For our team, this year's goal is very clear.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""ทีมเรา"",""english"":""our team"",""tones"":[""mid"",""mid""],""romanization"":""thiim rao""},{""thai"":""เป้าหมายปีนี้ชัดมาก"",""english"":""this year's goal is very clear"",""tones"":[""falling"",""high"",""mid"",""high"",""high"",""high""],""romanization"":""bpao-maai bpii nii chat maak""}]",hard
สำหรับเรื่องนี้ ฉันยังไม่ตัดสินใจ,"samrap rueang nii, chan yang mai dtat-sin-jai","As for this matter, I still have not decided.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""high""],""romanization"":""rueang nii""},{""thai"":""ฉันยังไม่ตัดสินใจ"",""english"":""I still have not decided"",""tones"":[""rising"",""mid"",""falling"",""low"",""mid"",""mid""],""romanization"":""chan yang mai dtat-sin-jai""}]",hard
สำหรับเด็กเล็ก วิธีนี้อาจยากเกินไป,"samrap d?k lek, wi-thii nii aat yaak gern bpai","For young children, this method may be too difficult.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""เด็กเล็ก"",""english"":""young children"",""tones"":[""low"",""high""],""romanization"":""d?k lek""},{""thai"":""วิธีนี้อาจยากเกินไป"",""english"":""this method may be too difficult"",""tones"":[""mid"",""falling"",""high"",""low"",""falling"",""mid"",""mid""],""romanization"":""wi-thii nii aat yaak gern bpai""}]",hard
สำหรับงานรอบนี้ เราต้องระวังมากขึ้น,"samrap ngaan raawp nii, rao dtawng ra-wang maak kheun","For this round of work, we have to be more careful.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""งานรอบนี้"",""english"":""this round of work"",""tones"":[""mid"",""falling"",""high""],""romanization"":""ngaan raawp nii""},{""thai"":""เราต้องระวังมากขึ้น"",""english"":""we have to be more careful"",""tones"":[""mid"",""falling"",""mid"",""mid"",""high"",""falling""],""romanization"":""rao dtawng ra-wang maak kheun""}]",hard
สำหรับงบปีหน้า ยังไม่มีข้อสรุป,"samrap ngop bpii naa, yang mai mii khaaw sa-rup","As for next year's budget, there is still no conclusion.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""งบปีหน้า"",""english"":""next year's budget"",""tones"":[""low"",""mid"",""falling""],""romanization"":""ngop bpii naa""},{""thai"":""ยังไม่มีข้อสรุป"",""english"":""there is still no conclusion"",""tones"":[""mid"",""falling"",""mid"",""falling"",""low"",""high""],""romanization"":""yang mai mii khaaw sa-rup""}]",hard
สำหรับลูกค้ากลุ่มนี้ บริการเร็วสำคัญมาก,"samrap luuk-khaa glum nii, baw-ri-gaan reo sam-khan maak","For this customer group, fast service is very important.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""ลูกค้ากลุ่มนี้"",""english"":""this customer group"",""tones"":[""high"",""high"",""low"",""high""],""romanization"":""luuk-khaa glum nii""},{""thai"":""บริการเร็วสำคัญมาก"",""english"":""fast service is very important"",""tones"":[""mid"",""low"",""mid"",""mid"",""mid"",""high""],""romanization"":""baw-ri-gaan reo sam-khan maak""}]",hard
สำหรับแผนเดิม ฉันยังไม่อยากทิ้ง,"samrap phaen doem, chan yang mai yaak thing","As for the original plan, I still do not want to drop it.","[{""thai"":""สำหรับ"",""english"":""as for"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""samrap""},{""thai"":""แผนเดิม"",""english"":""the original plan"",""tones"":[""rising"",""mid""],""romanization"":""phaen doem""},{""thai"":""ฉันยังไม่อยากทิ้ง"",""english"":""tI still do not want to drop it"",""tones"":[""rising"",""mid"",""falling"",""low"",""falling""],""romanization"":""chan yang mai yaak thing""}]",hard
