thai,romanization,english,breakdown,difficulty
แม้ว่าจะช้า แต่ก็ชัดเจน,mae wa cha cha tae ko chatchen,"Although it is slow, it is clear.","[{""thai"":""แม้ว่า"",""english"":""although"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""máe wâa""},{""thai"":""จะ"",""english"":""will / be"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""jà""},{""thai"":""ช้า"",""english"":""slow"",""tones"":[""high""],""tone"":""high"",""romanization"":""cháa""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ก็"",""english"":""still"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""gâw""},{""thai"":""ชัดเจน"",""english"":""clear"",""romanization"":""chát jeen""}]",hard
แม้ว่าจะช้า แต่ก็ชัดเจน,"mae-waa ja chaa, tae gaaw chat-jen","Although it is slow, it is still clear.","[{""thai"":""แม้ว่าจะช้า"",""english"":""although it is slow"",""tones"":[""high"",""falling"",""low"",""high""],""grammar"":true,""romanization"":""mae-waa ja chaa""},{""thai"":""แต่ก็ชัดเจน"",""english"":""it is still clear"",""tones"":[""low"",""falling"",""high"",""mid""],""romanization"":""tae gaaw chat-jen""}]",hard
แม้ว่าราคาจะสูง แต่ลูกค้าก็ยังสนใจ,"mae-waa raa-khaa ja suung, tae luuk-khaa gaaw yang son-jai","Although the price is high, customers are still interested.","[{""thai"":""แม้ว่าราคาจะสูง"",""english"":""although the price is high"",""tones"":[""high"",""falling"",""mid"",""high"",""low"",""rising""],""grammar"":true,""romanization"":""mae-waa raa-khaa ja suung""},{""thai"":""แต่ลูกค้าก็ยังสนใจ"",""english"":""customers are still interested"",""tones"":[""low"",""high"",""high"",""falling"",""mid"",""rising"",""mid""],""romanization"":""tae luuk-khaa gaaw yang son-jai""}]",hard
แม้ว่าฝนจะตกหนัก แต่เราก็ยังออกไปได้,"mae-waa fon ja dtok nak, tae rao gaaw yang aawk bpai dai","Although it is raining heavily, we can still go out.","[{""thai"":""แม้ว่าฝนจะตกหนัก"",""english"":""although it is raining heavily"",""tones"":[""high"",""falling"",""rising"",""low"",""low""],""grammar"":true,""romanization"":""mae-waa fon ja dtok nak""},{""thai"":""แต่เราก็ยังออกไปได้"",""english"":""we can still go out"",""tones"":[""low"",""mid"",""falling"",""mid"",""low"",""mid"",""falling""],""romanization"":""tae rao gaaw yang aawk bpai dai""}]",hard
แม้ว่าเขาจะเหนื่อย แต่เขาก็ยังทำต่อ,"mae-waa khao ja neuiay, tae khao gaaw yang tham dtaw","Although he is tired, he still keeps going.","[{""thai"":""แม้ว่าเขาจะเหนื่อย"",""english"":""although he is tired"",""tones"":[""high"",""falling"",""high"",""low"",""low""],""grammar"":true,""romanization"":""mae-waa khao ja neuiay""},{""thai"":""แต่เขาก็ยังทำต่อ"",""english"":""he still keeps going"",""tones"":[""low"",""high"",""falling"",""mid"",""mid"",""low""],""romanization"":""tae khao gaaw yang tham dtaw""}]",hard
แม้ว่าข้อมูลจะไม่ครบ แต่เราก็เริ่มได้,"mae-waa khaaw-muun ja mai khrop, tae rao gaaw roem dai","Although the information is incomplete, we can still begin.","[{""thai"":""แม้ว่าข้อมูลจะไม่ครบ"",""english"":""although the information is incomplete"",""tones"":[""high"",""falling"",""falling"",""rising"",""low"",""falling"",""high""],""grammar"":true,""romanization"":""mae-waa khaaw-muun ja mai khrop""},{""thai"":""แต่เราก็เริ่มได้"",""english"":""we can still begin"",""tones"":[""low"",""mid"",""falling"",""falling"",""falling""],""romanization"":""tae rao gaaw roem dai""}]",hard
แม้ว่าทีมจะเล็ก แต่ทำงานเร็วมาก,"mae-waa thiim ja lek, tae tham-ngaan reo maak","Although the team is small, it works very quickly.","[{""thai"":""แม้ว่าทีมจะเล็ก"",""english"":""although the team is small"",""tones"":[""high"",""falling"",""mid"",""low"",""high""],""grammar"":true,""romanization"":""mae-waa thiim ja lek""},{""thai"":""แต่ทำงานเร็วมาก"",""english"":""it works very quickly"",""tones"":[""low"",""mid"",""mid"",""mid"",""high""],""romanization"":""tae tham-ngaan reo maak""}]",hard
แม้ว่าเขาจะพูดน้อย แต่เขาฟังละเอียด,"mae-waa khao ja phuut naawy, tae khao fang la-iat","Although he does not talk much, he listens carefully.","[{""thai"":""แม้ว่าเขาจะพูดน้อย"",""english"":""although he speaks little"",""tones"":[""high"",""falling"",""high"",""low"",""falling"",""low""],""grammar"":true,""romanization"":""mae-waa khao ja phuut naawy""},{""thai"":""แต่เขาฟังละเอียด"",""english"":""he listens carefully"",""tones"":[""low"",""high"",""mid"",""low"",""low""],""romanization"":""tae khao fang la-iat""}]",hard
แม้ว่าจะเป็นวันหยุด แต่ร้านก็ยังเปิดอยู่,"mae-waa ja bpen wan-yut, tae raan gaaw yang bpoet yuu","Although it is a holiday, the shop is still open.","[{""thai"":""แม้ว่าจะเป็นวันหยุด"",""english"":""although it is a holiday"",""tones"":[""high"",""falling"",""low"",""mid"",""mid"",""low""],""grammar"":true,""romanization"":""mae-waa ja bpen wan-yut""},{""thai"":""แต่ร้านก็ยังเปิดอยู่"",""english"":""the shop is still open"",""tones"":[""low"",""high"",""falling"",""mid"",""low"",""low""],""romanization"":""tae raan gaaw yang bpoet yuu""}]",hard
แม้ว่าลูกค้าจะรีบ แต่เราก็ต้องตรวจให้ครบ,"mae-waa luuk-khaa ja riip, tae rao dtawng dtruat hai khrop","Although the customer is in a hurry, we still have to check everything.","[{""thai"":""แม้ว่าลูกค้าจะรีบ"",""english"":""although the customer is in a hurry"",""tones"":[""high"",""falling"",""high"",""high"",""low"",""falling""],""grammar"":true,""romanization"":""mae-waa luuk-khaa ja riip""},{""thai"":""แต่เราก็ต้องตรวจให้ครบ"",""english"":""we still have to check everything"",""tones"":[""low"",""mid"",""falling"",""low"",""falling"",""falling"",""high""],""romanization"":""tae rao dtawng dtruat hai khrop""}]",hard
