thai,romanization,english,breakdown,difficulty
พอถึงบ้านก็อาบน้ำ,pho thueng ban ko ap nam,"As soon as I got home, I took a shower.","[{""thai"":""พอ"",""english"":""as soon as"",""grammar"":true,""romanization"":""pho""},{""thai"":""ถึงบ้าน"",""english"":""arrive home"",""romanization"":""thuengban""},{""thai"":""ก็"",""english"":""then"",""grammar"":true,""romanization"":""ko""},{""thai"":""อาบน้ำ"",""english"":""take a shower"",""romanization"":""apnam""}]",hard
พอถึงบ้านก็อาบน้ำ,pho thueng baan ko ap naam,"As soon as I got home, I took a shower.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ถึง"",""english"":""arrive"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thueng""},{""thai"":""บ้าน"",""english"":""home"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""baan""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""อาบน้ำ"",""english"":""take a shower"",""tones"":[""low"",""high""],""romanization"":""ap naam""}]",easy
พอฝนหยุดเราก็ออกไปข้างนอก,pho fon yut rao ko ok pai khang nok,"As soon as the rain stopped, we went outside.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""หยุด"",""english"":""stop"",""tones"":[""low""],""tone"":""low"",""romanization"":""yut""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""ออกไป"",""english"":""go out"",""tones"":[""low"",""mid""],""romanization"":""ok pai""},{""thai"":""ข้างนอก"",""english"":""outside"",""tones"":[""falling"",""low""],""romanization"":""khang nok""}]",easy
พอครูเข้าห้องนักเรียนก็เงียบ,pho khruu khao hong nakrian ko ngiap,"As soon as the teacher entered the room, the students went quiet.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""เข้า"",""english"":""enter"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khao""},{""thai"":""ห้อง"",""english"":""room"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""hong""},{""thai"":""นักเรียน"",""english"":""students"",""tones"":[""high"",""mid""],""romanization"":""nakrian""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""เงียบ"",""english"":""quiet"",""tones"":[""low""],""tone"":""low"",""romanization"":""ngiap""}]",easy
พอเขาโทรมาฉันก็รับสายทันที,pho khao thoo maa chan ko rap saai thanthii,"As soon as he called, I answered right away.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""โทรมา"",""english"":""call"",""tones"":[""mid"",""mid""],""romanization"":""thoo maa""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""รับสาย"",""english"":""answer the call"",""tones"":[""high"",""mid""],""romanization"":""rap saai""},{""thai"":""ทันที"",""english"":""right away"",""tones"":[""mid"",""mid""],""romanization"":""thanthii""}]",medium
พอรถมาพวกเราก็ขึ้นเลย,pho rot maa phuak rao ko khuen loei,"As soon as the bus came, we got on immediately.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""รถ"",""english"":""vehicle / bus"",""tones"":[""high""],""tone"":""high"",""romanization"":""rot""},{""thai"":""มา"",""english"":""come"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maa""},{""thai"":""พวกเรา"",""english"":""we"",""tones"":[""falling"",""mid""],""romanization"":""phuak rao""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""ขึ้น"",""english"":""get on"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khuen""},{""thai"":""เลย"",""english"":""immediately"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""loei""}]",easy
พอประชุมจบเราก็ไปกินข้าว,pho prachum jop rao ko pai gin khao,"As soon as the meeting ended, we went to eat.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ประชุม"",""english"":""meeting"",""tones"":[""low"",""mid""],""romanization"":""prachum""},{""thai"":""จบ"",""english"":""end"",""tones"":[""low""],""tone"":""low"",""romanization"":""jop""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""กินข้าว"",""english"":""eat"",""tones"":[""mid"",""falling""],""romanization"":""gin khao""}]",easy
พอเปิดประตูแมวก็วิ่งออกมา,pho poet pratuu maeo ko wing ok maa,"As soon as I opened the door, the cat ran out.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""เปิด"",""english"":""open"",""tones"":[""low""],""tone"":""low"",""romanization"":""poet""},{""thai"":""ประตู"",""english"":""door"",""tones"":[""low"",""mid""],""romanization"":""pratuu""},{""thai"":""แมว"",""english"":""cat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maeo""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""วิ่ง"",""english"":""run"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""wing""},{""thai"":""ออกมา"",""english"":""come out"",""tones"":[""low"",""mid""],""romanization"":""ok maa""}]",easy
พอได้เงินเดือนฉันก็จ่ายค่าเช่า,pho dai ngoen duean chan ko jaai khaa chao,"As soon as I got paid, I paid the rent.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ได้"",""english"":""get"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""dai""},{""thai"":""เงินเดือน"",""english"":""salary"",""tones"":[""mid"",""mid""],""romanization"":""ngoen duean""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""จ่าย"",""english"":""pay"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""jaai""},{""thai"":""ค่าเช่า"",""english"":""rent"",""tones"":[""falling"",""falling""],""romanization"":""khaa chao""}]",medium
พอถึงคิวเขาก็เดินเข้าไป,pho thueng khiu khao ko doen khao pai,"As soon as it was his turn, he walked in.","[{""thai"":""พอ"",""english"":""as soon as"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pho""},{""thai"":""ถึง"",""english"":""reach"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thueng""},{""thai"":""คิว"",""english"":""turn"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khiu""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ko""},{""thai"":""เดิน"",""english"":""walk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""doen""},{""thai"":""เข้าไป"",""english"":""go in"",""tones"":[""falling"",""mid""],""romanization"":""khao pai""}]",medium
