thai,romanization,english,breakdown,difficulty
ฉันทำอาหารเอง,chan tham ahan eng,I cook the food myself.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ทำ"",""english"":""make / do"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""อาหาร"",""english"":""food"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""ahǎan""},{""thai"":""เอง"",""english"":""oneself / personally"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""eng""}]",easy
เขาเรียนด้วยตัวเอง,khao rian duai tua eng,He studies by himself.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""เรียน"",""english"":""study"",""romanization"":""rian""},{""thai"":""ด้วยตัวเอง"",""english"":""by oneself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",easy
เขียนรายงานด้วยตัวเอง,khǐan raai-ngaan dûai tua-eng,He wrote the report by himself.,"[{""thai"":""เขียน"",""english"":""write"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǐan""},{""thai"":""รายงาน"",""english"":""report"",""romanization"":""raai-ngaan""},{""thai"":""ด้วยตัวเอง"",""english"":""by himself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",easy
ฉันทำเค้กด้วยตัวเอง,chǎn tham khék dûai tua-eng,I made the cake by myself.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ทำ"",""english"":""make"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""เค้ก"",""english"":""cake"",""tones"":[""high""],""tone"":""high"",""romanization"":""khék""},{""thai"":""ด้วยตัวเอง"",""english"":""by myself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",easy
เธอซ่อมคอมพิวเตอร์ด้วยตัวเอง,thoe sôm khomphiwutœ̂ dûai tua-eng,She repaired the computer by herself.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ซ่อม"",""english"":""repair"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""sôm""},{""thai"":""คอมพิวเตอร์"",""english"":""computer"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khomphiwutœ̂""},{""thai"":""ด้วยตัวเอง"",""english"":""by herself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",medium
เขาตัดสินใจเรื่องนี้ด้วยตัวเอง,khǎo tàtsǐnjai rûeang níi dûai tua-eng,He made this decision by himself.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ตัดสินใจ"",""english"":""decide"",""romanization"":""tàtsǐnjai""},{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""high""],""romanization"":""rûeang níi""},{""thai"":""ด้วยตัวเอง"",""english"":""by himself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",medium
เด็กๆ เล่นเกมด้วยตัวเอง,dèk-dèk lên geem dûai tua-eng,The kids play games by themselves.,"[{""thai"":""เด็กๆ"",""english"":""kids"",""tones"":[""low"",""low""],""romanization"":""dèk-dèk""},{""thai"":""เล่น"",""english"":""play"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""lên""},{""thai"":""เกม"",""english"":""games"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""geem""},{""thai"":""ด้วยตัวเอง"",""english"":""by themselves"",""grammar"":true,""romanization"":""dûai tua-eng""}]",easy
นักเรียนทำการบ้านด้วยตัวเอง,nákrīan tham gaan-bâan dûai tua-eng,The students did their homework by themselves.,"[{""thai"":""นักเรียน"",""english"":""students"",""tones"":[""high""],""tone"":""high"",""romanization"":""nákrīan""},{""thai"":""ทำ"",""english"":""do"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""การบ้าน"",""english"":""homework"",""romanization"":""gaan-bâan""},{""thai"":""ด้วยตัวเอง"",""english"":""by themselves"",""grammar"":true,""romanization"":""dûai tua-eng""}]",medium
เราวางแผนท่องเที่ยวเอง,rao waang phǐan thâwng-thîao eng,We planned the trip by ourselves.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""วางแผน"",""english"":""plan"",""romanization"":""waang phǐan""},{""thai"":""ท่องเที่ยว"",""english"":""trip"",""tones"":[""falling"",""falling""],""romanization"":""thâwng-thîao""},{""thai"":""เอง"",""english"":""by ourselves"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""eng""}]",medium
คุณต้องเผชิญปัญหานี้ด้วยตัวเอง,khun tâwng phachœn panhǎa níi dûai tua-eng,You must face this problem by yourself.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tâwng""},{""thai"":""เผชิญ"",""english"":""face"",""romanization"":""phachœn""},{""thai"":""ปัญหานี้"",""english"":""this problem"",""tones"":[""rising"",""high""],""romanization"":""panhǎa níi""},{""thai"":""ด้วยตัวเอง"",""english"":""by yourself"",""grammar"":true,""romanization"":""dûai tua-eng""}]",hard
