thai,romanization,english,breakdown,difficulty
ตั้งแต่ย้ายบ้าน ฉันก็ยุ่งมาก,tang tae yai ban chan ko yung mak,"Ever since I moved house, I have been very busy.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""ย้ายบ้าน"",""english"":""move house"",""tones"":[""high"",""falling""],""romanization"":""yáai-bâan""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""ก็"",""english"":""then / as a result"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""gâw""},{""thai"":""ยุ่ง"",""english"":""busy"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yûng""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâak""}]",hard
ตั้งแต่ย้ายบ้านฉันก็ยุ่งมาก,tangtae yaai baan chan ko yung maak,"Ever since I moved house, I've been very busy.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""ย้ายบ้าน"",""english"":""move house"",""tones"":[""falling"",""falling""],""romanization"":""yaai baan""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""then / since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ยุ่ง"",""english"":""busy"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yung""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",easy
ตั้งแต่เริ่มงานใหม่เขาก็ตื่นเช้าทุกวัน,tangtae roem ngaan mai khao ko tuen chao thuk wan,"Ever since he started the new job, he's been waking up early every day.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เริ่มงานใหม่"",""english"":""start the new job"",""tones"":[""falling"",""mid"",""falling""],""romanization"":""roem ngaan mai""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ตื่นเช้า"",""english"":""wake up early"",""tones"":[""falling"",""falling""],""romanization"":""tuen chao""},{""thai"":""ทุกวัน"",""english"":""every day"",""tones"":[""high"",""mid""],""romanization"":""thuk wan""}]",medium
ตั้งแต่ลูกเข้าโรงเรียนแม่ก็มีเวลามากขึ้น,tangtae luuk khao roongrian mae ko mii welaa maak khuen,"Ever since the child started school, Mom has had more time.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""ลูก"",""english"":""child"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""luuk""},{""thai"":""เข้า"",""english"":""enter / start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khao""},{""thai"":""โรงเรียน"",""english"":""school"",""tones"":[""mid"",""mid""],""romanization"":""roongrian""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""มีเวลา"",""english"":""have time"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""mii welaa""},{""thai"":""มากขึ้น"",""english"":""more"",""tones"":[""falling"",""falling""],""romanization"":""maak khuen""}]",medium
ตั้งแต่รู้ข่าวนั้นฉันก็นอนไม่ค่อยหลับ,tangtae ruu khao nan chan ko naon mai khoi lap,"Ever since I heard that news, I haven't been sleeping well.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""รู้"",""english"":""know / hear"",""tones"":[""high""],""tone"":""high"",""romanization"":""ruu""},{""thai"":""ข่าวนั้น"",""english"":""that news"",""tones"":[""low"",""high""],""romanization"":""khao nan""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""นอนไม่ค่อยหลับ"",""english"":""not sleep very well"",""tones"":[""mid"",""falling"",""falling"",""low""],""romanization"":""naon mai khoi lap""}]",medium
ตั้งแต่ฝนเริ่มตกถนนก็ลื่นมาก,tangtae fon roem tok thanon ko luen maak,"Ever since the rain started, the roads have been very slippery.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""roem""},{""thai"":""ตก"",""english"":""fall / rain"",""tones"":[""low""],""tone"":""low"",""romanization"":""tok""},{""thai"":""ถนน"",""english"":""road"",""tones"":[""low"",""mid""],""romanization"":""thanon""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ลื่น"",""english"":""slippery"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""luen""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",easy
ตั้งแต่ฉันเริ่มวิ่งตอนเช้าสุขภาพก็ดีขึ้น,tangtae chan roem wing dtaon chao sukkhaphap ko dii khuen,"Ever since I started running in the morning, my health has improved.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""roem""},{""thai"":""วิ่ง"",""english"":""run"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""wing""},{""thai"":""ตอนเช้า"",""english"":""in the morning"",""tones"":[""mid"",""falling""],""romanization"":""dtaon chao""},{""thai"":""สุขภาพ"",""english"":""health"",""tones"":[""low"",""low"",""high""],""romanization"":""sukkhaphap""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ดีขึ้น"",""english"":""improve"",""tones"":[""mid"",""falling""],""romanization"":""dii khuen""}]",medium
ตั้งแต่เราเปลี่ยนแผนทุกอย่างก็ดูง่ายขึ้น,tangtae rao plian phaen thuk yaang ko duu ngai khuen,"Ever since we changed the plan, everything has seemed easier.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""เปลี่ยน"",""english"":""change"",""tones"":[""low""],""tone"":""low"",""romanization"":""plian""},{""thai"":""แผน"",""english"":""plan"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phaen""},{""thai"":""ทุกอย่าง"",""english"":""everything"",""tones"":[""high"",""falling""],""romanization"":""thuk yaang""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ดู"",""english"":""seem"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""ง่ายขึ้น"",""english"":""easier"",""tones"":[""falling"",""falling""],""romanization"":""ngaai khuen""}]",medium
ตั้งแต่ย้ายมาที่นี่พ่อก็กลับบ้านช้ากว่าเดิม,tangtae yaai maa thii nii pho ko glap baan chaa kwaa doem,"Ever since we moved here, Dad has been getting home later than before.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""ย้ายมา"",""english"":""move here"",""tones"":[""falling"",""mid""],""romanization"":""yaai maa""},{""thai"":""ที่นี่"",""english"":""here"",""tones"":[""falling"",""falling""],""romanization"":""thii nii""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""กลับบ้าน"",""english"":""go home"",""tones"":[""low"",""falling""],""romanization"":""glap baan""},{""thai"":""ช้ากว่าเดิม"",""english"":""later than before"",""tones"":[""high"",""low"",""mid""],""romanization"":""chaa kwaa doem""}]",medium
ตั้งแต่เปิดเทอมร้านนี้ก็ขายดีมาก,tangtae poet theom raan nii ko khaai dii maak,"Ever since the semester started, this shop has been selling very well.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เปิดเทอม"",""english"":""semester start"",""tones"":[""low"",""mid""],""romanization"":""poet theom""},{""thai"":""ร้านนี้"",""english"":""this shop"",""tones"":[""high"",""high""],""romanization"":""raan nii""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ขายดี"",""english"":""sell well"",""tones"":[""rising"",""mid""],""romanization"":""khaai dii""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",medium
ตั้งแต่เขาเริ่มเรียนไทยเขาก็กล้าพูดมากขึ้น,tangtae khao roem rian thai khao ko glaa phuut maak khuen,"Ever since he started learning Thai, he has become much more confident speaking it.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""roem""},{""thai"":""เรียนไทย"",""english"":""study Thai"",""tones"":[""mid"",""mid""],""romanization"":""rian thai""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""กล้าพูด"",""english"":""dare to speak"",""tones"":[""falling"",""falling""],""romanization"":""glaa phuut""},{""thai"":""มากขึ้น"",""english"":""more"",""tones"":[""falling"",""falling""],""romanization"":""maak khuen""}]",medium
ตั้งแต่แม่ซื้อโต๊ะตัวนี้ฉันก็ทำงานที่บ้านบ่อยขึ้น,tangtae mae sue to dtua nii chan ko thamngaan thii baan boi khuen,"Ever since Mom bought this desk, I've been working from home more often.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ซื้อ"",""english"":""buy"",""tones"":[""high""],""tone"":""high"",""romanization"":""sue""},{""thai"":""โต๊ะตัวนี้"",""english"":""this desk"",""tones"":[""high"",""mid"",""high""],""romanization"":""to dtua nii""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ทำงานที่บ้าน"",""english"":""work from home"",""tones"":[""mid"",""mid"",""falling"",""falling""],""romanization"":""thamngaan thii baan""},{""thai"":""บ่อยขึ้น"",""english"":""more often"",""tones"":[""low"",""falling""],""romanization"":""boi khuen""}]",medium
ตั้งแต่เราเลี้ยงแมวบ้านก็ไม่เงียบอีกเลย,tangtae rao liang maeo baan ko mai ngiap iik loei,"Ever since we started keeping a cat, the house has never been quiet again.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""เลี้ยง"",""english"":""raise / keep"",""tones"":[""high""],""tone"":""high"",""romanization"":""liang""},{""thai"":""แมว"",""english"":""cat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maeo""},{""thai"":""บ้าน"",""english"":""house"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""baan""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ไม่เงียบอีกเลย"",""english"":""never quiet again"",""tones"":[""falling"",""low"",""falling"",""mid""],""romanization"":""mai ngiap iik loei""}]",medium
ตั้งแต่เปลี่ยนมือถือใหม่พ่อก็โทรหาฉันง่ายขึ้น,tangtae plian mue thue mai pho ko thoo haa chan ngai khuen,"Ever since Dad changed to a new phone, it's been easier for him to call me.","[{""thai"":""ตั้งแต่"",""english"":""ever since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tangtae""},{""thai"":""เปลี่ยนมือถือใหม่"",""english"":""switch to a new phone"",""tones"":[""low"",""mid"",""rising"",""falling""],""romanization"":""plian mue thue mai""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""ก็"",""english"":""since then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""โทรหา"",""english"":""call"",""tones"":[""mid"",""rising""],""romanization"":""thoo haa""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ง่ายขึ้น"",""english"":""easier"",""tones"":[""falling"",""falling""],""romanization"":""ngaai khuen""}]",medium
