thai,romanization,english,breakdown,difficulty
คุยเรื่องเดิมซ้ำๆ เสียเวลา,khui rueang doem sam sam sia wela,Talking about the same thing again and again wastes time.,"[{""thai"":""คุย"",""english"":""talk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khui""},{""thai"":""เรื่องเดิม"",""english"":""the same topic"",""romanization"":""rueang doem""},{""thai"":""ซ้ำๆ"",""english"":""repeatedly"",""romanization"":""sam sam""},{""thai"":""เสียเวลา"",""english"":""waste time"",""grammar"":true,""romanization"":""sia wela""}]",hard
คุยเรื่องเดิมซ้ำๆ เสียเวลา,khui rueang doem sam sam sia wee-laa,Talking about the same thing again and again wastes time.,"[{""thai"":""คุยเรื่องเดิมซ้ำๆ"",""english"":""talk about the same thing again and again"",""tones"":[""mid"",""falling"",""mid"",""high"",""high""],""romanization"":""khui rueang doem sam sam""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
ไปผิดทางแบบนี้เสียเวลา,bpai phit thaang baep nii sia wee-laa,Going the wrong way like this wastes time.,"[{""thai"":""ไปผิดทางแบบนี้"",""english"":""go the wrong way like this"",""tones"":[""mid"",""low"",""mid"",""low"",""high""],""romanization"":""bpai phit thaang baep nii""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",medium
รอคิวโดยไม่จำเป็นเสียเวลา,raw khiu dooi mai jam-bpen sia wee-laa,Waiting in line unnecessarily wastes time.,"[{""thai"":""รอคิวโดยไม่จำเป็น"",""english"":""wait in line unnecessarily"",""tones"":[""mid"",""mid"",""mid"",""falling"",""mid"",""mid""],""romanization"":""raw khiu dooi mai jam-bpen""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
เปลี่ยนแผนตอนสุดท้ายเสียเวลา,bplian phaen dtawn sut-thaai sia wee-laa,Changing the plan at the last minute wastes time.,"[{""thai"":""เปลี่ยนแผนตอนสุดท้าย"",""english"":""change the plan at the last minute"",""tones"":[""low"",""rising"",""mid"",""low"",""falling""],""romanization"":""bplian phaen dtawn sut-thaai""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
ประชุมเรื่องเดิมหลายรอบเสียเวลา,bpra-chum rueang doem laai raawp sia wee-laa,Meeting about the same thing many times wastes time.,"[{""thai"":""ประชุมเรื่องเดิมหลายรอบ"",""english"":""meet about the same thing many times"",""tones"":[""mid"",""mid"",""falling"",""mid"",""falling"",""falling""],""romanization"":""bpra-chum rueang doem laai raawp""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
อธิบายซ้ำหลายครั้งเสียเวลา,a-thi-baai sam laai khrang sia wee-laa,Explaining it over and over wastes time.,"[{""thai"":""อธิบายซ้ำหลายครั้ง"",""english"":""explain it over and over"",""tones"":[""low"",""high"",""mid"",""high"",""falling"",""falling""],""romanization"":""a-thi-baai sam laai khrang""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
กลับไปเอาของเพราะลืมเสียเวลา,glap bpai ao khawng phraw leum sia wee-laa,Going back to get something because you forgot it wastes time.,"[{""thai"":""กลับไปเอาของเพราะลืม"",""english"":""go back to get something because you forgot it"",""tones"":[""low"",""mid"",""mid"",""rising"",""high"",""mid""],""romanization"":""glap bpai ao khawng phraw leum""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
รอคำตอบนานเกินไปเสียเวลา,raw kham-dtaawp naan gern bpai sia wee-laa,Waiting too long for an answer wastes time.,"[{""thai"":""รอคำตอบนานเกินไป"",""english"":""wait too long for an answer"",""tones"":[""mid"",""mid"",""low"",""mid"",""mid"",""mid""],""romanization"":""raw kham-dtaawp naan gern bpai""},{""thai"":""เสียเวลา"",""english"":""waste time"",""tones"":[""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""sia wee-laa""}]",hard
ซ่อมของชิ้นนี้ต่อไปเสียเงินมากกว่า,sawm khawng chin nii dtor bpai sia ngoen maak gwaa,Keeping on repairing this item costs more money.,"[{""thai"":""ซ่อมของชิ้นนี้ต่อไป"",""english"":""keep repairing this item"",""tones"":[""falling"",""rising"",""falling"",""high"",""low"",""mid""],""romanization"":""sawm khawng chin nii dtor bpai""},{""thai"":""เสียเงินมากกว่า"",""english"":""cost more money"",""tones"":[""rising"",""mid"",""falling"",""low""],""grammar"":true,""romanization"":""sia ngoen maak gwaa""}]",hard
