thai,romanization,english,breakdown,difficulty
ระหว่างที่รอ ฉันอ่านข่าว,rawang thi ro chan an khao,"While waiting, I read the news.","[{""thai"":""ระหว่างที่"",""english"":""while"",""grammar"":true,""romanization"":""rawang thi""},{""thai"":""รอ"",""english"":""wait"",""romanization"":""ro""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àn""},{""thai"":""ข่าว"",""english"":""news"",""tones"":[""low""],""tone"":""low"",""romanization"":""khàao""}]",hard
ระหว่างที่รอฉันอ่านข่าว,rawang thii ro chan aan khao,"While waiting, I read the news.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""รอ"",""english"":""wait"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ro""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""aan""},{""thai"":""ข่าว"",""english"":""news"",""tones"":[""low""],""tone"":""low"",""romanization"":""khao""}]",easy
ระหว่างที่แม่ทำอาหารพ่อก็ล้างรถ,rawang thii mae tham ahaan pho ko laang rot,"While Mom was cooking, Dad washed the car.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ทำอาหาร"",""english"":""cook"",""tones"":[""mid"",""rising"",""mid""],""romanization"":""tham ahaan""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ล้างรถ"",""english"":""wash the car"",""tones"":[""high"",""high""],""romanization"":""laang rot""}]",easy
ระหว่างที่เราคุยกันฝนก็ตกหนักขึ้น,rawang thii rao khui kan fon ko tok nak khuen,"While we were talking, the rain got heavier.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""คุยกัน"",""english"":""talk"",""tones"":[""mid"",""mid""],""romanization"":""khui kan""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ตก"",""english"":""fall"",""tones"":[""low""],""tone"":""low"",""romanization"":""tok""},{""thai"":""หนักขึ้น"",""english"":""get heavier"",""tones"":[""low"",""falling""],""romanization"":""nak khuen""}]",medium
ระหว่างที่เขาขับรถฉันก็ดูแผนที่,rawang thii khao khap rot chan ko duu phaen thii,"While he was driving, I looked at the map.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ขับรถ"",""english"":""drive"",""tones"":[""high"",""high""],""romanization"":""khap rot""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ดู"",""english"":""look at"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""แผนที่"",""english"":""map"",""tones"":[""rising"",""falling""],""romanization"":""phaen thii""}]",easy
ระหว่างที่ลูกนอนแม่ก็พับผ้า,rawang thii luuk naon mae ko phap phaa,"While the child was sleeping, Mom folded the laundry.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""ลูก"",""english"":""child"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""luuk""},{""thai"":""นอน"",""english"":""sleep"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""naon""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""พับผ้า"",""english"":""fold the clothes"",""tones"":[""high"",""falling""],""romanization"":""phap phaa""}]",easy
ระหว่างที่รอหมอพ่อก็โทรหายาย,rawang thii ro mo pho ko thoo haa yaai,"While waiting for the doctor, Dad called Grandma.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""รอหมอ"",""english"":""wait for the doctor"",""tones"":[""mid"",""rising""],""romanization"":""ro mo""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""โทรหา"",""english"":""call"",""tones"":[""mid"",""rising""],""romanization"":""thoo haa""},{""thai"":""ยาย"",""english"":""Grandma"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""yaai""}]",easy
ระหว่างที่ประชุมฉันจดโน้ตตลอด,rawang thii prachum chan jot noot dtalot,"While the meeting was going on, I took notes the whole time.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""ประชุม"",""english"":""meeting"",""tones"":[""low"",""mid""],""romanization"":""prachum""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""จดโน้ต"",""english"":""take notes"",""tones"":[""low"",""high""],""romanization"":""jot noot""},{""thai"":""ตลอด"",""english"":""the whole time"",""tones"":[""low"",""low""],""romanization"":""dtalot""}]",medium
ระหว่างที่เขาพูดทุกคนก็นิ่งมาก,rawang thii khao phuut thuk khon ko ning maak,"While he was speaking, everyone stayed very still.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuut""},{""thai"":""ทุกคน"",""english"":""everyone"",""tones"":[""high"",""mid""],""romanization"":""thuk khon""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""นิ่ง"",""english"":""still / silent"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ning""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",easy
ระหว่างที่เราเดินตลาดฉันก็ซื้อผลไม้,rawang thii rao doen talat chan ko sue phonlamai,"While we were walking through the market, I bought some fruit.","[{""thai"":""ระหว่างที่"",""english"":""while"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""rawang thii""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""เดินตลาด"",""english"":""walk through the market"",""tones"":[""mid"",""low"",""low""],""romanization"":""doen talat""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ก็"",""english"":""then"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ko""},{""thai"":""ซื้อ"",""english"":""buy"",""tones"":[""high""],""tone"":""high"",""romanization"":""sue""},{""thai"":""ผลไม้"",""english"":""fruit"",""tones"":[""rising"",""high"",""high""],""romanization"":""phonlamai""}]",medium
