thai,romanization,english,breakdown,difficulty
ลองอีกครั้งว่าไหม,long ik khrang wa mai,How about trying once more?,"[{""thai"":""ลอง"",""english"":""try"",""romanization"":""long""},{""thai"":""อีกครั้ง"",""english"":""once more"",""tones"":[""low"",""high""],""romanization"":""ìik khráng""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""wâa mái""}]",hard
เริ่มประชุมเลยว่าไหม,reum bpra-chum loei waa mai,Shall we start the meeting now?,"[{""thai"":""เริ่มประชุมเลย"",""english"":""start the meeting now"",""tones"":[""mid"",""low"",""mid"",""mid""],""romanization"":""reum bpra-chum loei""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ลองโทรไปถามก่อนว่าไหม,lawng thoo bpai thaam gawn waa mai,How about calling to ask first?,"[{""thai"":""ลองโทรไปถามก่อน"",""english"":""try calling to ask first"",""tones"":[""mid"",""mid"",""mid"",""rising"",""falling""],""romanization"":""lawng thoo bpai thaam gawn""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
นัดเป็นวันศุกร์แทนว่าไหม,nat bpen wan suk thaen waa mai,How about changing it to Friday instead?,"[{""thai"":""นัดเป็นวันศุกร์แทน"",""english"":""move it to Friday instead"",""tones"":[""high"",""mid"",""mid"",""low"",""mid""],""romanization"":""nat bpen wan suk thaen""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
แบ่งงานกันใหม่ว่าไหม,baeng ngaan gan mai waa mai,How about dividing the work again?,"[{""thai"":""แบ่งงานกันใหม่"",""english"":""divide the work again"",""tones"":[""falling"",""mid"",""mid"",""falling""],""romanization"":""baeng ngaan gan mai""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
พักก่อนสักสิบนาทีว่าไหม,phak gawn sak sip naa-thii waa mai,How about taking a ten-minute break?,"[{""thai"":""พักก่อนสักสิบนาที"",""english"":""take a ten-minute break first"",""tones"":[""high"",""falling"",""low"",""low"",""mid"",""falling""],""romanization"":""phak gawn sak sip naa-thii""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ส่งฉบับนี้ให้เขาดูก่อนว่าไหม,song cha-bap nii hai khao duu gawn waa mai,How about sending him this draft first?,"[{""thai"":""ส่งฉบับนี้ให้เขาดูก่อน"",""english"":""send him this draft first"",""tones"":[""rising"",""low"",""high"",""falling"",""rising"",""mid"",""falling""],""romanization"":""song cha-bap nii hai khao duu gawn""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ค่อยคุยเรื่องงบประมาณพรุ่งนี้ว่าไหม,khoi khui rueang ngop-bpra-maan phrung-nii waa mai,How about talking about the budget tomorrow instead?,"[{""thai"":""ค่อยคุยเรื่องงบประมาณพรุ่งนี้"",""english"":""talk about the budget tomorrow instead"",""tones"":[""falling"",""mid"",""falling"",""low"",""mid"",""mid"",""high""],""romanization"":""khoi khui rueang ngop-bpra-maan phrung-nii""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
เราไปถึงก่อนเวลาหน่อยว่าไหม,rao bpai theung gawn wee-laa noi waa mai,How about arriving a little early?,"[{""thai"":""เราไปถึงก่อนเวลาหน่อย"",""english"":""arrive a little early"",""tones"":[""mid"",""mid"",""rising"",""falling"",""mid"",""mid"",""low""],""romanization"":""rao bpai theung gawn wee-laa noi""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ใช้วิธีเดิมไปก่อนว่าไหม,chai wi-thii derm bpai gawn waa mai,How about using the same method for now?,"[{""thai"":""ใช้วิธีเดิมไปก่อน"",""english"":""use the same method for now"",""tones"":[""high"",""mid"",""falling"",""mid"",""mid"",""falling""],""romanization"":""chai wi-thii derm bpai gawn""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
เริ่มจากหัวข้อง่ายๆ ก่อนว่าไหม,reum jaak hua-khaw ngaai-ngaai gawn waa mai,How about starting with the easier topic first?,"[{""thai"":""เริ่มจากหัวข้อง่ายๆ ก่อน"",""english"":""start with the easier topic first"",""tones"":[""mid"",""low"",""rising"",""falling"",""falling"",""falling"",""falling""],""romanization"":""reum jaak hua-khaw ngaai-ngaai gawn""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
เลือกร้านที่เงียบกว่านี้ว่าไหม,leuak raan thii ngiap gwaa nii waa mai,How about choosing a quieter place?,"[{""thai"":""เลือกร้านที่เงียบกว่านี้"",""english"":""choose a quieter place"",""tones"":[""falling"",""high"",""mid"",""low"",""low"",""high""],""romanization"":""leuak raan thii ngiap gwaa nii""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ส่งข้อความย้ำอีกครั้งว่าไหม,song khaw-khwaam yam iik khrang waa mai,How about sending another reminder message?,"[{""thai"":""ส่งข้อความย้ำอีกครั้ง"",""english"":""send another reminder message"",""tones"":[""rising"",""falling"",""high"",""mid"",""high""],""romanization"":""song khaw-khwaam yam iik khrang""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
เราอ่านสัญญาอีกรอบว่าไหม,rao aan san-yaa iik rawp waa mai,How about reading the contract one more time?,"[{""thai"":""เราอ่านสัญญาอีกรอบ"",""english"":""read the contract one more time"",""tones"":[""mid"",""low"",""rising"",""mid"",""falling""],""romanization"":""rao aan san-yaa iik rawp""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ขอความคิดเห็นจากทีมก่อนว่าไหม,khaw khwaam-hen jaak thiim gawn waa mai,How about getting the team's opinion first?,"[{""thai"":""ขอความคิดเห็นจากทีมก่อน"",""english"":""get the team's opinion first"",""tones"":[""rising"",""mid"",""rising"",""low"",""mid"",""falling""],""romanization"":""khaw khwaam-hen jaak thiim gawn""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
นัดคุยกันแบบออนไลน์ว่าไหม,nat khui gan baep on-lai waa mai,How about meeting online?,"[{""thai"":""นัดคุยกันแบบออนไลน์"",""english"":""meet online"",""tones"":[""high"",""mid"",""mid"",""low"",""mid"",""mid""],""romanization"":""nat khui gan baep on-lai""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ลดรายละเอียดลงหน่อยว่าไหม,lot raai-la-iat long noi waa mai,How about trimming the details down a bit?,"[{""thai"":""ลดรายละเอียดลงหน่อย"",""english"":""trim the details down a bit"",""tones"":[""high"",""mid"",""low"",""low"",""mid"",""low""],""romanization"":""lot raai-la-iat long noi""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
ให้เขาลองอธิบายเองว่าไหม,hai khao lawng a-thi-baai eng waa mai,How about letting him explain it himself?,"[{""thai"":""ให้เขาลองอธิบายเอง"",""english"":""let him explain it himself"",""tones"":[""falling"",""rising"",""mid"",""low"",""high"",""mid""],""romanization"":""hai khao lawng a-thi-baai eng""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
เรากลับมาดูเรื่องนี้ตอนบ่ายว่าไหม,rao glap maa duu rueang nii dtawn baai waa mai,How about coming back to this this afternoon?,"[{""thai"":""เรากลับมาดูเรื่องนี้ตอนบ่าย"",""english"":""come back to this this afternoon"",""tones"":[""mid"",""low"",""mid"",""mid"",""falling"",""high"",""mid"",""falling""],""romanization"":""rao glap maa duu rueang nii dtawn baai""},{""thai"":""ว่าไหม"",""english"":""what do you say?"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""waa mai""}]",medium
