thai,romanization,english,breakdown,difficulty
เด็กต้องพักผ่อน โดยเฉพาะเด็กเล็ก,dek tong phak phon doichapho dek lek,"Children need rest, especially young children.","[{""thai"":""เด็ก"",""english"":""child / children"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tông""},{""thai"":""พักผ่อน"",""english"":""rest"",""tones"":[""high"",""low""],""romanization"":""phák phòn""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""grammar"":true,""romanization"":""doi chá-pháw""},{""thai"":""เด็กเล็ก"",""english"":""young children"",""romanization"":""dek lék""}]",hard
ฉันชอบผลไม้โดยเฉพาะมะม่วง,chan chop phon-la-mai dooi cha-phaw ma-muang,"I like fruit, especially mangoes.","[{""thai"":""ฉันชอบผลไม้"",""english"":""I like fruit"",""tones"":[""rising"",""falling"",""rising"",""high""],""romanization"":""chan chop phon-la-mai""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""มะม่วง"",""english"":""mangoes"",""tones"":[""high"",""falling""],""romanization"":""ma-muang""}]",medium
ร้านนี้ขายขนมหลายอย่างโดยเฉพาะเค้ก,raan nii khaai kha-nom lai yaang dooi cha-phaw khek,"This place sells many kinds of sweets, especially cake.","[{""thai"":""ร้านนี้ขายขนมหลายอย่าง"",""english"":""this place sells many kinds of sweets"",""tones"":[""high"",""high"",""rising"",""low"",""rising"",""high""],""romanization"":""raan nii khaai kha-nom lai yaang""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""เค้ก"",""english"":""cake"",""tones"":[""high""],""tone"":""high"",""romanization"":""khek""}]",medium
เด็กๆ ต้องการการพักผ่อนโดยเฉพาะช่วงสอบ,dek dek tong-gaan gaan phak-phon dooi cha-phaw chuang sop,"Children need rest, especially during exam season.","[{""thai"":""เด็กๆ ต้องการการพักผ่อน"",""english"":""children need rest"",""tones"":[""low"",""low"",""falling"",""mid"",""mid"",""high"",""falling""],""romanization"":""dek dek tong-gaan gaan phak-phon""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""ช่วงสอบ"",""english"":""during exam season"",""tones"":[""falling"",""low""],""romanization"":""chuang sop""}]",medium
เขาฟังเพลงหลายแนวโดยเฉพาะแจ๊ซ,khao fang phleeng lai naeo dooi cha-phaw jaet,"He listens to many genres of music, especially jazz.","[{""thai"":""เขาฟังเพลงหลายแนว"",""english"":""he listens to many genres of music"",""tones"":[""rising"",""mid"",""mid"",""rising"",""mid""],""romanization"":""khao fang phleeng lai naeo""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""แจ๊ซ"",""english"":""jazz"",""tones"":[""high""],""tone"":""high"",""romanization"":""jaet""}]",medium
ฉันกังวลเรื่องค่าใช้จ่ายโดยเฉพาะค่าเช่า,chan gang-won rueang khaa chai-jaai dooi cha-phaw khaa chao,"I'm worried about expenses, especially rent.","[{""thai"":""ฉันกังวลเรื่องค่าใช้จ่าย"",""english"":""I'm worried about expenses"",""tones"":[""rising"",""mid"",""mid"",""falling"",""falling"",""high""],""romanization"":""chan gang-won rueang khaa chai-jaai""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""ค่าเช่า"",""english"":""rent"",""tones"":[""falling"",""falling""],""romanization"":""khaa chao""}]",medium
เมืองนี้น่าเที่ยวมากโดยเฉพาะตอนหน้าหนาว,mueang nii naa-thiao maak dooi cha-phaw dtawn naa-naao,"This city is lovely to visit, especially in winter.","[{""thai"":""เมืองนี้น่าเที่ยวมาก"",""english"":""this city is lovely to visit"",""tones"":[""mid"",""high"",""falling"",""falling"",""high""],""romanization"":""mueang nii naa-thiao maak""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""ตอนหน้าหนาว"",""english"":""in winter"",""tones"":[""mid"",""falling"",""rising""],""romanization"":""dtawn naa-naao""}]",medium
ทีมเราต้องปรับปรุงหลายอย่างโดยเฉพาะการสื่อสาร,thiim rao tong bprap-bprung lai yaang dooi cha-phaw gaan sue-saan,"Our team needs to improve many things, especially communication.","[{""thai"":""ทีมเราต้องปรับปรุงหลายอย่าง"",""english"":""our team needs to improve many things"",""tones"":[""mid"",""mid"",""falling"",""mid"",""mid"",""rising"",""high""],""romanization"":""thiim rao tong bprap-bprung lai yaang""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""การสื่อสาร"",""english"":""communication"",""tones"":[""mid"",""falling"",""rising""],""romanization"":""gaan sue-saan""}]",medium
พ่อระวังเรื่องสุขภาพมากโดยเฉพาะอาหารหวาน,phaw ra-wang rueang suk-kha-phaap maak dooi cha-phaw aa-haan waan,"Dad is very careful about health, especially sweet food.","[{""thai"":""พ่อระวังเรื่องสุขภาพมาก"",""english"":""Dad is very careful about health"",""tones"":[""falling"",""mid"",""mid"",""falling"",""low"",""high"",""falling"",""high""],""romanization"":""phaw ra-wang rueang suk-kha-phaap maak""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""อาหารหวาน"",""english"":""sweet food"",""tones"":[""mid"",""rising"",""rising""],""romanization"":""aa-haan waan""}]",medium
บทนี้ยากหลายจุดโดยเฉพาะตอนท้าย,bot nii yaak lai jut dooi cha-phaw dtawn thaai,"This chapter is difficult in many places, especially at the end.","[{""thai"":""บทนี้ยากหลายจุด"",""english"":""this chapter is difficult in many places"",""tones"":[""low"",""high"",""falling"",""rising"",""low""],""romanization"":""bot nii yaak lai jut""},{""thai"":""โดยเฉพาะ"",""english"":""especially"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""dooi cha-phaw""},{""thai"":""ตอนท้าย"",""english"":""at the end"",""tones"":[""mid"",""falling""],""romanization"":""dtawn thaai""}]",medium
