thai,romanization,english,breakdown,difficulty
เขาไม่เพียงแต่พูดเก่ง แต่ยังเขียนดีด้วย,khao mai phiang tae phut keng tae yang khian di duai,"He is not only good at speaking, but also writes well.","[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""grammar"":true,""romanization"":""mai phiang tae""},{""thai"":""พูดเก่ง"",""english"":""speak well"",""romanization"":""phut keng""},{""thai"":""แต่ยัง"",""english"":""but also"",""grammar"":true,""romanization"":""tae yang""},{""thai"":""เขียนดี"",""english"":""write well"",""romanization"":""khian di""},{""thai"":""ด้วย"",""english"":""too / also"",""grammar"":true,""romanization"":""duai""}]",hard
เขาไม่เพียงแต่พูดเก่ง แต่ยังเขียนดีด้วย,khao mai phiang dtae phuut geng dtae yang khian dii duay,"He is not only good at speaking, but also writes well.","[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""พูดเก่ง"",""english"":""speaks well"",""tones"":[""falling"",""falling""],""romanization"":""phuut geng""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""เขียนดีด้วย"",""english"":""also writes well"",""tones"":[""rising"",""mid"",""falling""],""romanization"":""khian dii duay""}]",hard
ร้านนี้ไม่เพียงแต่อร่อย แต่ยังสะอาดด้วย,raan nii mai phiang dtae a-roi dtae yang sa-aat duay,"This place is not only delicious, but also clean.","[{""thai"":""ร้านนี้"",""english"":""this place"",""tones"":[""high"",""high""],""romanization"":""raan nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""อร่อย"",""english"":""is delicious"",""tones"":[""low"",""falling""],""romanization"":""a-roi""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""สะอาดด้วย"",""english"":""is also clean"",""tones"":[""low"",""low"",""falling""],""romanization"":""sa-aat duay""}]",hard
วิธีนี้ไม่เพียงแต่เร็ว แต่ยังประหยัดด้วย,wi-thii nii mai phiang dtae reo dtae yang bpra-yat duay,"This method is not only fast, but also economical.","[{""thai"":""วิธีนี้"",""english"":""this method"",""tones"":[""mid"",""falling"",""high""],""romanization"":""wi-thii nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""เร็ว"",""english"":""is fast"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""reo""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""ประหยัดด้วย"",""english"":""is also economical"",""tones"":[""low"",""falling"",""falling""],""romanization"":""bpra-yat duay""}]",hard
เธอไม่เพียงแต่เข้าใจเร็ว แต่ยังอธิบายเก่งด้วย,thoe mai phiang dtae khao-jai reo dtae yang a-thi-baai geng duay,"She not only understands quickly, but also explains well.","[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""เข้าใจเร็ว"",""english"":""understands quickly"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""khao-jai reo""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""อธิบายเก่งด้วย"",""english"":""also explains well"",""tones"":[""low"",""high"",""falling"",""falling""],""romanization"":""a-thi-baai geng duay""}]",hard
โครงการนี้ไม่เพียงแต่ใช้ได้จริง แต่ยังขยายต่อได้,khroong-gaan nii mai phiang dtae chai dai jing dtae yang kha-yaai dtaw dai,"This project is not only practical, but can also be expanded.","[{""thai"":""โครงการนี้"",""english"":""this project"",""tones"":[""mid"",""mid"",""high""],""romanization"":""khroong-gaan nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""ใช้ได้จริง"",""english"":""works in reality"",""tones"":[""high"",""mid"",""mid""],""romanization"":""chai dai jing""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""ขยายต่อได้"",""english"":""can also be expanded"",""tones"":[""low"",""falling"",""mid"",""mid""],""romanization"":""kha-yaai dtaw dai""}]",hard
บทเรียนนี้ไม่เพียงแต่ชัดเจน แต่ยังสนุกด้วย,bot-riian nii mai phiang dtae chat-jen dtae yang sa-nuk duay,"This lesson is not only clear, but also enjoyable.","[{""thai"":""บทเรียนนี้"",""english"":""this lesson"",""tones"":[""low"",""mid"",""high""],""romanization"":""bot-riian nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""ชัดเจน"",""english"":""is clear"",""tones"":[""low"",""mid""],""romanization"":""chat-jen""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""สนุกด้วย"",""english"":""is also enjoyable"",""tones"":[""low"",""high"",""falling""],""romanization"":""sa-nuk duay""}]",hard
เขาไม่เพียงแต่มาตรงเวลา แต่ยังเตรียมงานครบด้วย,khao mai phiang dtae maa dtrong wee-laa dtae yang dtriam ngaan khrop duay,"He not only arrived on time, but also prepared everything.","[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""มาตรงเวลา"",""english"":""arrived on time"",""tones"":[""mid"",""mid"",""mid"",""mid""],""romanization"":""maa dtrong wee-laa""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""เตรียมงานครบด้วย"",""english"":""also prepared everything"",""tones"":[""mid"",""mid"",""high"",""falling""],""romanization"":""dtriam ngaan khrop duay""}]",hard
ทีมนี้ไม่เพียงแต่ทำงานไว แต่ยังละเอียดด้วย,thiim nii mai phiang dtae tham-ngaan wai dtae yang la-iat duay,"This team is not only fast, but also thorough.","[{""thai"":""ทีมนี้"",""english"":""this team"",""tones"":[""mid"",""high""],""romanization"":""thiim nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""ทำงานไว"",""english"":""works fast"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""tham-ngaan wai""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""ละเอียดด้วย"",""english"":""is also thorough"",""tones"":[""low"",""low"",""falling""],""romanization"":""la-iat duay""}]",hard
คอร์สนี้ไม่เพียงแต่เหมาะกับผู้เริ่มต้น แต่ยังใช้ทบทวนได้ด้วย,khot nii mai phiang dtae moh gap phuu reum-dton dtae yang chai thop-thuan dai duay,"This course is not only suitable for beginners, but can also be used for review.","[{""thai"":""คอร์สนี้"",""english"":""this course"",""tones"":[""falling"",""high""],""romanization"":""khot nii""},{""thai"":""ไม่เพียงแต่"",""english"":""not only"",""tones"":[""falling"",""mid"",""low""],""grammar"":true,""romanization"":""mai phiang dtae""},{""thai"":""เหมาะกับผู้เริ่มต้น"",""english"":""is suitable for beginners"",""tones"":[""falling"",""low"",""high"",""mid""],""romanization"":""moh gap phuu reum-dton""},{""thai"":""แต่ยัง"",""english"":""but also"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""dtae yang""},{""thai"":""ใช้ทบทวนได้ด้วย"",""english"":""can also be used for review"",""tones"":[""high"",""high"",""mid"",""falling""],""romanization"":""chai thop-thuan dai duay""}]",hard
