thai,romanization,english,breakdown,difficulty
ตามที่ครูบอก เราต้องแก้ใหม่,tam thi khru bok rao tong kae mai,"According to what the teacher said, we have to revise it.","[{""thai"":""ตามที่"",""english"":""according to"",""grammar"":true,""romanization"":""tam thi""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khru""},{""thai"":""บอก"",""english"":""say / tell"",""romanization"":""bok""},{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tông""},{""thai"":""แก้ใหม่"",""english"":""revise again"",""tones"":[""falling"",""low""],""romanization"":""kâe mài""}]",hard
ตามที่ครูบอก เราต้องแก้ใหม่,"taam thii khruu baawk, rao dtawng gae mai","According to what the teacher said, we have to revise it.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""ครูบอก"",""english"":""the teacher said"",""tones"":[""mid"",""low""],""romanization"":""khruu baawk""},{""thai"":""เราต้องแก้ใหม่"",""english"":""we have to revise it"",""tones"":[""mid"",""falling"",""falling"",""low""],""romanization"":""rao dtawng gae mai""}]",hard
ตามที่แจ้งไว้ ร้านปิดห้าโมง,"taam thii jaeng wai, raan bpit haa moong","As announced, the shop closes at five.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""แจ้งไว้"",""english"":""was announced"",""tones"":[""falling"",""falling""],""romanization"":""jaeng wai""},{""thai"":""ร้านปิดห้าโมง"",""english"":""the shop closes at five"",""tones"":[""high"",""low"",""falling"",""mid""],""romanization"":""raan bpit haa moong""}]",hard
ตามที่คุยกันเมื่อวาน เราจะเริ่มวันจันทร์,"taam thii khui gan muea waan, rao ja roem wan jan","As we discussed yesterday, we'll start on Monday.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""คุยกันเมื่อวาน"",""english"":""we discussed yesterday"",""tones"":[""mid"",""mid"",""falling"",""falling""],""romanization"":""khui gan muea waan""},{""thai"":""เราจะเริ่มวันจันทร์"",""english"":""we'll start on Monday"",""tones"":[""mid"",""low"",""falling"",""mid"",""mid""],""romanization"":""rao ja roem wan jan""}]",hard
ตามที่ลูกค้าขอ เราเปลี่ยนสีแล้ว,"taam thii luuk-khaa khaaw, rao bplian sii laeo","As the customer requested, we've already changed the color.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""ลูกค้าขอ"",""english"":""the customer requested"",""tones"":[""high"",""high"",""falling""],""romanization"":""luuk-khaa khaaw""},{""thai"":""เราเปลี่ยนสีแล้ว"",""english"":""we've already changed the color"",""tones"":[""mid"",""low"",""mid"",""falling""],""romanization"":""rao bplian sii laeo""}]",hard
ตามที่หัวหน้าบอก ทีมนี้ต้องส่งก่อนเที่ยง,"taam thii hua-naa baawk, thiim nii dtawng song gawn thiang","According to the manager, this team has to submit before noon.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""หัวหน้าบอก"",""english"":""the manager said"",""tones"":[""rising"",""falling"",""low""],""romanization"":""hua-naa baawk""},{""thai"":""ทีมนี้ต้องส่งก่อนเที่ยง"",""english"":""this team has to submit before noon"",""tones"":[""mid"",""high"",""falling"",""low"",""falling"",""mid""],""romanization"":""thiim nii dtawng song gawn thiang""}]",hard
ตามที่หมอบอก เขาควรพักอีกสองวัน,"taam thii maw baawk, khao khuan phak iik saawng wan","According to the doctor, he should rest for two more days.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""หมอบอก"",""english"":""the doctor said"",""tones"":[""rising"",""low""],""romanization"":""maw baawk""},{""thai"":""เขาควรพักอีกสองวัน"",""english"":""he should rest for two more days"",""tones"":[""high"",""mid"",""high"",""mid"",""rising"",""mid""],""romanization"":""khao khuan phak iik saawng wan""}]",hard
ตามที่ประกาศเมื่อเช้า การประชุมถูกเลื่อน,"taam thii bpra-gaat muea chao, gaan bpra-chum thuuk luean","As announced this morning, the meeting has been postponed.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""ประกาศเมื่อเช้า"",""english"":""was announced this morning"",""tones"":[""low"",""low"",""falling"",""falling""],""romanization"":""bpra-gaat muea chao""},{""thai"":""การประชุมถูกเลื่อน"",""english"":""the meeting was postponed"",""tones"":[""mid"",""low"",""mid"",""low"",""falling""],""romanization"":""gaan bpra-chum thuuk luean""}]",hard
ตามที่เราดู ปัญหานี้ไม่ง่าย,"taam thii rao duu, bpan-haa nii mai ngaai","From what we can see, this problem isn't easy.","[{""thai"":""ตามที่"",""english"":""from what / according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""เราดู"",""english"":""we can see"",""tones"":[""mid"",""mid""],""romanization"":""rao duu""},{""thai"":""ปัญหานี้ไม่ง่าย"",""english"":""this problem isn't easy"",""tones"":[""mid"",""rising"",""high"",""falling"",""falling""],""romanization"":""bpan-haa nii mai ngaai""}]",hard
ตามที่คุณเข้าใจ เราไม่ได้เปลี่ยนแผน,"taam thii khun khao-jai, rao mai dai bplian phaen","As you understand it, we didn't change the plan.","[{""thai"":""ตามที่"",""english"":""according to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""taam thii""},{""thai"":""คุณเข้าใจ"",""english"":""you understand"",""tones"":[""mid"",""falling"",""mid""],""romanization"":""khun khao-jai""},{""thai"":""เราไม่ได้เปลี่ยนแผน"",""english"":""we didn't change the plan"",""tones"":[""mid"",""falling"",""falling"",""low"",""rising""],""romanization"":""rao mai dai bplian phaen""}]",hard
