thai,romanization,english,breakdown,difficulty
สองทีมเก่งเท่ากัน,song thim keng thao kan,The two teams are equally good.,"[{""thai"":""สองทีม"",""english"":""two teams"",""romanization"":""song thim""},{""thai"":""เก่ง"",""english"":""good / skilled"",""tones"":[""low""],""tone"":""low"",""romanization"":""kèng""},{""thai"":""เท่ากัน"",""english"":""equally"",""grammar"":true,""romanization"":""thâo kan""}]",hard
สองร้านนี้ราคาเท่ากัน,sawng raan nii raa-khaa thao gan,These two shops have the same prices.,"[{""thai"":""สองร้านนี้"",""english"":""these two shops"",""tones"":[""rising"",""high"",""high""],""romanization"":""sawng raan nii""},{""thai"":""ราคา"",""english"":""price"",""tones"":[""mid"",""high""],""romanization"":""raa-khaa""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
เราสองคนอายุเท่ากัน,rao sawng khon aa-yu thao gan,The two of us are the same age.,"[{""thai"":""เราสองคน"",""english"":""the two of us"",""tones"":[""mid"",""rising"",""mid""],""romanization"":""rao sawng khon""},{""thai"":""อายุ"",""english"":""age"",""tones"":[""mid"",""mid""],""romanization"":""aa-yu""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
กล่องสองใบหนักเท่ากัน,glawng sawng bai nak thao gan,The two boxes weigh the same.,"[{""thai"":""กล่องสองใบ"",""english"":""two boxes"",""tones"":[""low"",""rising"",""mid""],""romanization"":""glawng sawng bai""},{""thai"":""หนัก"",""english"":""heavy"",""tones"":[""high""],""tone"":""high"",""romanization"":""nak""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
ห้องนี้กว้างเท่ากับห้องนั้น,hawng nii gwaang thao gap hawng nan,This room is as wide as that one.,"[{""thai"":""ห้องนี้"",""english"":""this room"",""tones"":[""falling"",""high""],""romanization"":""hawng nii""},{""thai"":""กว้าง"",""english"":""wide"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""gwaang""},{""thai"":""เท่ากับ"",""english"":""equal to"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""thao gap""},{""thai"":""ห้องนั้น"",""english"":""that room"",""tones"":[""falling"",""high""],""romanization"":""hawng nan""}]",medium
คะแนนของเขาเท่ากับของฉัน,kha-naaen khawng khao thao gap khawng chan,His score is equal to mine.,"[{""thai"":""คะแนนของเขา"",""english"":""his score"",""tones"":[""mid"",""rising"",""rising"",""rising""],""romanization"":""kha-naaen khawng khao""},{""thai"":""เท่ากับ"",""english"":""equal to"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""thao gap""},{""thai"":""ของฉัน"",""english"":""mine"",""tones"":[""rising"",""rising""],""romanization"":""khawng chan""}]",hard
ค่าแท็กซี่วันนี้เท่ากับเมื่อวาน,khaa thaek-sii wan nii thao gap muea waan,Today's taxi fare is the same as yesterday's.,"[{""thai"":""ค่าแท็กซี่วันนี้"",""english"":""today's taxi fare"",""tones"":[""high"",""falling"",""mid"",""mid"",""high""],""romanization"":""khaa thaek-sii wan nii""},{""thai"":""เท่ากับ"",""english"":""equal to"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""thao gap""},{""thai"":""เมื่อวาน"",""english"":""yesterday"",""tones"":[""falling"",""falling""],""romanization"":""muea waan""}]",hard
แก้วสองใบสูงเท่ากัน,gaeo sawng bai suung thao gan,The two glasses are the same height.,"[{""thai"":""แก้วสองใบ"",""english"":""two glasses"",""tones"":[""falling"",""rising"",""mid""],""romanization"":""gaeo sawng bai""},{""thai"":""สูง"",""english"":""tall / high"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""suung""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
เวลาที่ใช้ไปเท่ากัน,wee-laa thii chai bpai thao gan,The time spent is the same.,"[{""thai"":""เวลาที่ใช้ไป"",""english"":""the time spent"",""tones"":[""mid"",""mid"",""falling"",""high"",""mid""],""romanization"":""wee-laa thii chai bpai""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
สองทีมเล่นดีเท่ากัน,sawng thiim len dii thao gan,The two teams play equally well.,"[{""thai"":""สองทีม"",""english"":""two teams"",""tones"":[""rising"",""mid""],""romanization"":""sawng thiim""},{""thai"":""เล่นดี"",""english"":""play well"",""tones"":[""mid"",""mid""],""romanization"":""len dii""},{""thai"":""เท่ากัน"",""english"":""equally / the same"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""thao gan""}]",medium
