thai,romanization,english,breakdown,difficulty
มิน่าล่ะถึงมาสาย,mina la thueng ma sai,No wonder you came late.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ถึง"",""english"":""therefore / that's why"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""thueng""},{""thai"":""มา"",""english"":""come"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ma""},{""thai"":""สาย"",""english"":""late"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sai""}]",hard
มิน่าล่ะเขาดูเหนื่อย,mina la khao duu nueay,No wonder he looks tired.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาดูเหนื่อย"",""english"":""he looks tired"",""tones"":[""rising"",""mid"",""falling""],""romanization"":""khao duu nueay""}]",hard
มิน่าล่ะเธอมาช้า,mina la thoe maa chaa,No wonder she arrived late.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เธอมาช้า"",""english"":""she arrived late"",""tones"":[""mid"",""mid"",""high""],""romanization"":""thoe maa chaa""}]",hard
มิน่าล่ะร้านนี้คนเยอะ,mina la raan nii khon yoe,No wonder this place is crowded.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ร้านนี้คนเยอะ"",""english"":""this place is crowded"",""tones"":[""high"",""high"",""mid"",""high""],""romanization"":""raan nii khon yoe""}]",hard
มิน่าล่ะเขาตอบได้เร็ว,mina la khao dtop dai reo,No wonder he answered quickly.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาตอบได้เร็ว"",""english"":""he answered quickly"",""tones"":[""rising"",""low"",""mid"",""mid""],""romanization"":""khao dtop dai reo""}]",hard
มิน่าล่ะเธอพูดคล่องขึ้น,mina la thoe phuut khlong kheun,No wonder she speaks more fluently now.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เธอพูดคล่องขึ้น"",""english"":""she speaks more fluently now"",""tones"":[""mid"",""falling"",""falling"",""falling""],""romanization"":""thoe phuut khlong kheun""}]",hard
มิน่าล่ะทุกคนเงียบ,mina la thuk-khon ngiap,No wonder everyone is quiet.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ทุกคนเงียบ"",""english"":""everyone is quiet"",""tones"":[""high"",""mid"",""low""],""romanization"":""thuk-khon ngiap""}]",hard
มิน่าล่ะห้องนี้เย็น,mina la hong nii yen,No wonder this room is cool.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ห้องนี้เย็น"",""english"":""this room is cool"",""tones"":[""falling"",""high"",""mid""],""romanization"":""hong nii yen""}]",hard
มิน่าล่ะงานออกมาดี,mina la ngaan awk maa dii,No wonder the work came out well.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""งานออกมาดี"",""english"":""the work came out well"",""tones"":[""mid"",""low"",""mid"",""mid""],""romanization"":""ngaan awk maa dii""}]",hard
มิน่าล่ะเขายังไม่ตอบ,mina la khao yang mai dtop,No wonder he still hasn't replied.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขายังไม่ตอบ"",""english"":""he still hasn't replied"",""tones"":[""rising"",""mid"",""falling"",""low""],""romanization"":""khao yang mai dtop""}]",hard
มิน่าล่ะเธอรู้รายละเอียด,mina la thoe ruu la-iat,No wonder she knows the details so well.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เธอรู้รายละเอียด"",""english"":""she knows the details well"",""tones"":[""mid"",""high"",""low"",""low""],""romanization"":""thoe ruu la-iat""}]",hard
มิน่าล่ะลูกค้าเปลี่ยนใจ,mina la luuk-khaa bplian jai,No wonder the client changed their mind.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ลูกค้าเปลี่ยนใจ"",""english"":""the client changed their mind"",""tones"":[""falling"",""high"",""low"",""mid""],""romanization"":""luuk-khaa bplian jai""}]",hard
มิน่าล่ะเขาหาที่จอดไม่ได้,mina la khao haa thii jawt mai dai,No wonder he couldn't find parking.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาหาที่จอดไม่ได้"",""english"":""he couldn't find parking"",""tones"":[""rising"",""rising"",""falling"",""low"",""falling"",""mid""],""romanization"":""khao haa thii jawt mai dai""}]",hard
มิน่าล่ะทุกคนรีบกลับ,mina la thuk-khon riip glap,No wonder everyone hurried home.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ทุกคนรีบกลับ"",""english"":""everyone hurried home"",""tones"":[""high"",""mid"",""falling"",""low""],""romanization"":""thuk-khon riip glap""}]",hard
มิน่าล่ะเธอจำได้หมด,mina la thoe jam dai mot,No wonder she remembered everything.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เธอจำได้หมด"",""english"":""she remembered everything"",""tones"":[""mid"",""mid"",""mid"",""low""],""romanization"":""thoe jam dai mot""}]",hard
มิน่าล่ะเขาไม่ค่อยพูด,mina la khao mai khoi phuut,No wonder he doesn't talk much.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาไม่ค่อยพูด"",""english"":""he doesn't talk much"",""tones"":[""rising"",""falling"",""falling"",""falling""],""romanization"":""khao mai khoi phuut""}]",hard
มิน่าล่ะวันนี้เงียบผิดปกติ,mina la wan-nii ngiap phit-bpa-ga-dti,No wonder it's unusually quiet today.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""วันนี้เงียบผิดปกติ"",""english"":""today is unusually quiet"",""tones"":[""mid"",""high"",""low"",""low"",""low"",""low""],""romanization"":""wan-nii ngiap phit-bpa-ga-dti""}]",hard
มิน่าล่ะเขาเข้าใจเร็ว,mina la khao khao-jai reo,No wonder he understands quickly.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาเข้าใจเร็ว"",""english"":""he understands quickly"",""tones"":[""rising"",""rising"",""mid"",""mid""],""romanization"":""khao khao-jai reo""}]",hard
มิน่าล่ะเธอไม่สบาย,mina la thoe mai sa-baai,No wonder she isn't feeling well.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เธอไม่สบาย"",""english"":""she isn't feeling well"",""tones"":[""mid"",""falling"",""low"",""mid""],""romanization"":""thoe mai sa-baai""}]",hard
มิน่าล่ะโครงการนี้ช้า,mina la khroong-gaan nii chaa,No wonder this project is slow.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""โครงการนี้ช้า"",""english"":""this project is slow"",""tones"":[""mid"",""mid"",""high"",""high""],""romanization"":""khroong-gaan nii chaa""}]",hard
มิน่าล่ะเขาไม่อยากร่วมงาน,mina la khao mai yaak ruam-ngaan,No wonder he doesn't want to work together.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาไม่อยากร่วมงาน"",""english"":""he doesn't want to work together"",""tones"":[""rising"",""falling"",""falling"",""mid"",""mid""],""romanization"":""khao mai yaak ruam-ngaan""}]",hard
มิน่าล่ะพ่อยังไม่นอน,mina la phaw yang mai nawn,No wonder Dad is still not asleep.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""พ่อยังไม่นอน"",""english"":""Dad is still not asleep"",""tones"":[""falling"",""mid"",""falling"",""mid""],""romanization"":""phaw yang mai nawn""}]",hard
มิน่าล่ะเขาเลือกแบบนี้,mina la khao leuak baep nii,No wonder he chose this option.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""เขาเลือกแบบนี้"",""english"":""he chose this option"",""tones"":[""rising"",""falling"",""low"",""high""],""romanization"":""khao leuak baep nii""}]",hard
มิน่าล่ะทุกคนเห็นด้วย,mina la thuk-khon hen duay,No wonder everyone agrees.,"[{""thai"":""มิน่าล่ะ"",""english"":""no wonder"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""mina la""},{""thai"":""ทุกคนเห็นด้วย"",""english"":""everyone agrees"",""tones"":[""high"",""mid"",""rising"",""falling""],""romanization"":""thuk-khon hen duay""}]",hard
