thai,romanization,english,breakdown,difficulty
วันนี้ฉันทำงานที่บ้าน,wan-níi chǎn tham-ngaan thîi bâan,I'm working from home today.,"[{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""grammar"":true,""romanization"":""wan-níi""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ทำงาน"",""english"":""work"",""tones"":[""mid"",""mid""],""romanization"":""tham-ngaan""},{""thai"":""ที่"",""english"":""at"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thîi""},{""thai"":""บ้าน"",""english"":""home"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâan""}]",easy
ตอนนี้เขากินข้าวอยู่,dtawn-níi khǎo kin-khâao yùu,He's eating right now.,"[{""thai"":""ตอนนี้"",""english"":""right now"",""tones"":[""mid"",""high""],""grammar"":true,""romanization"":""dtawn-níi""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""กินข้าว"",""english"":""eat"",""tones"":[""mid"",""falling""],""romanization"":""kin-khâao""},{""thai"":""อยู่"",""english"":""(ongoing marker)"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""}]",easy
พรุ่งนี้เราไปตลาด,phrûng-níi rao bpai dtà-làat,We're going to the market tomorrow.,"[{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""phrûng-níi""},{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bpai""},{""thai"":""ตลาด"",""english"":""market"",""tones"":[""low"",""low""],""romanization"":""dtà-làat""}]",easy
เช้านี้แม่ไปธนาคาร,cháo-níi mâe bpai tha-naa-khaan,Mom went to the bank this morning.,"[{""thai"":""เช้านี้"",""english"":""this morning"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""cháo-níi""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""ไป"",""english"":""go / went"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bpai""},{""thai"":""ธนาคาร"",""english"":""bank"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""tha-naa-khaan""}]",easy
ตอนบ่ายฉันมีเรียน,dtawn-bàai chǎn mii rian,I have class this afternoon.,"[{""thai"":""ตอนบ่าย"",""english"":""this afternoon"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""dtawn-bàai""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""มี"",""english"":""have"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mii""},{""thai"":""เรียน"",""english"":""class"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rian""}]",easy
คืนนี้พ่อทำอาหาร,kheuun-níi phâw tham aa-hǎan,Dad is cooking tonight.,"[{""thai"":""คืนนี้"",""english"":""tonight"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""kheuun-níi""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phâw""},{""thai"":""ทำ"",""english"":""make / cook"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""อาหาร"",""english"":""food"",""tones"":[""mid"",""rising""],""romanization"":""aa-hǎan""}]",easy
เมื่อคืนฝนตกหนัก,mʉ̂a-kheuun fǒn-tòk nàk,It rained hard last night.,"[{""thai"":""เมื่อคืน"",""english"":""last night"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""mʉ̂a-kheuun""},{""thai"":""ฝนตก"",""english"":""rain"",""tones"":[""rising"",""low""],""romanization"":""fǒn-tòk""},{""thai"":""หนัก"",""english"":""hard / heavily"",""tones"":[""low""],""tone"":""low"",""romanization"":""nàk""}]",easy
ตอนนี้ร้านยังไม่เปิด,dtawn-níi ráan yang mâi bpə̀ət,The shop isn't open yet.,"[{""thai"":""ตอนนี้"",""english"":""right now"",""tones"":[""mid"",""high""],""grammar"":true,""romanization"":""dtawn-níi""},{""thai"":""ร้าน"",""english"":""shop"",""tones"":[""high""],""tone"":""high"",""romanization"":""ráan""},{""thai"":""ยัง"",""english"":""yet / still"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""yang""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâi""},{""thai"":""เปิด"",""english"":""open"",""tones"":[""low""],""tone"":""low"",""romanization"":""bpə̀ət""}]",easy
วันนี้อากาศดีมาก,wan-níi aa-gàat dii mâak,The weather is really nice today.,"[{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""grammar"":true,""romanization"":""wan-níi""},{""thai"":""อากาศ"",""english"":""weather"",""tones"":[""mid"",""low""],""romanization"":""aa-gàat""},{""thai"":""ดี"",""english"":""good / nice"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dii""},{""thai"":""มาก"",""english"":""very / really"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâak""}]",easy
พรุ่งนี้ฉันมีนัดกับหมอ,phrûng-níi chǎn mii nát gàp mǎw,I have a doctor's appointment tomorrow.,"[{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""tones"":[""falling"",""high""],""grammar"":true,""romanization"":""phrûng-níi""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""มี"",""english"":""have"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mii""},{""thai"":""นัด"",""english"":""appointment"",""tones"":[""high""],""tone"":""high"",""romanization"":""nát""},{""thai"":""กับ"",""english"":""with"",""tones"":[""low""],""tone"":""low"",""romanization"":""gàp""},{""thai"":""หมอ"",""english"":""doctor"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""mǎw""}]",easy
