thai,romanization,english,breakdown,difficulty
ฝนตกหนัก ส่งผลให้ถนนลื่น,fon tok nak song phon hai thanon luen,Heavy rain resulted in slippery roads.,"[{""thai"":""ฝนตกหนัก"",""english"":""heavy rain"",""romanization"":""fon tok nak""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""grammar"":true,""romanization"":""song phon hai""},{""thai"":""ถนน"",""english"":""road"",""romanization"":""thanon""},{""thai"":""ลื่น"",""english"":""slippery"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""luen""}]",hard
ฝนตกหนัก ส่งผลให้ถนนลื่น,fon dtok nak song-phon hai song-phon hai tha-non luen,Heavy rain resulted in slippery roads.,"[{""thai"":""ฝนตกหนัก"",""english"":""heavy rain"",""tones"":[""rising"",""low"",""low""],""romanization"":""fon dtok nak""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ถนนลื่น"",""english"":""resulted in slippery roads"",""tones"":[""low"",""rising"",""falling"",""mid"",""falling""],""romanization"":""song-phon hai tha-non luen""}]",hard
ยอดขายลดลง ส่งผลให้บริษัทต้องลดงบ,yod-khaai lot long song-phon hai song-phon hai baw-ri-sat lot ngop,"Sales dropped, resulting in the company cutting the budget.","[{""thai"":""ยอดขายลดลง"",""english"":""sales dropped"",""tones"":[""falling"",""rising"",""low"",""mid""],""romanization"":""yod-khaai lot long""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""บริษัทต้องลดงบ"",""english"":""resulted in the company cutting the budget"",""tones"":[""low"",""rising"",""falling"",""mid"",""low"",""low"",""low""],""romanization"":""song-phon hai baw-ri-sat lot ngop""}]",hard
ข้อมูลไม่ครบ ส่งผลให้ตัดสินใจช้า,khaaw-muun mai khrop song-phon hai song-phon hai dtat-sin-jai chaa,Incomplete information resulted in slow decision-making.,"[{""thai"":""ข้อมูลไม่ครบ"",""english"":""incomplete information"",""tones"":[""falling"",""rising"",""falling"",""high""],""romanization"":""khaaw-muun mai khrop""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ตัดสินใจช้า"",""english"":""resulted in slow decision-making"",""tones"":[""low"",""rising"",""falling"",""low"",""mid"",""mid"",""high""],""romanization"":""song-phon hai dtat-sin-jai chaa""}]",hard
ลูกค้าร้องเรียนมากขึ้น ส่งผลให้ทีมงานเครียดขึ้น,luuk-khaa raawng-rian maak kheun song-phon hai song-phon hai thiim-ngaan khriiat kheun,"Customer complaints increased, resulting in the team becoming more stressed.","[{""thai"":""ลูกค้าร้องเรียนมากขึ้น"",""english"":""customer complaints increased"",""tones"":[""high"",""high"",""falling"",""mid"",""high"",""falling""],""romanization"":""luuk-khaa raawng-rian maak kheun""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ทีมงานเครียดขึ้น"",""english"":""resulted in the team becoming more stressed"",""tones"":[""low"",""rising"",""falling"",""mid"",""mid"",""falling"",""falling""],""romanization"":""song-phon hai thiim-ngaan khriiat kheun""}]",hard
ต้นทุนขนส่งสูงขึ้น ส่งผลให้ราคาขายปรับขึ้น,dton-thun khon-song suung kheun song-phon hai song-phon hai raa-khaa khaai bprap kheun,Higher shipping costs resulted in higher sale prices.,"[{""thai"":""ต้นทุนขนส่งสูงขึ้น"",""english"":""shipping costs rose"",""tones"":[""mid"",""low"",""rising"",""rising"",""falling""],""romanization"":""dton-thun khon-song suung kheun""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ราคาขายปรับขึ้น"",""english"":""resulted in sale prices being raised"",""tones"":[""low"",""rising"",""falling"",""mid"",""high"",""rising"",""low"",""falling""],""romanization"":""song-phon hai raa-khaa khaai bprap kheun""}]",hard
การสื่อสารผิดพลาด ส่งผลให้ลูกค้าเข้าใจผิด,gaan sue-saan phit-phlaat song-phon hai song-phon hai luuk-khaa khao-jai phit,Communication errors resulted in customer misunderstanding.,"[{""thai"":""การสื่อสารผิดพลาด"",""english"":""communication errors"",""tones"":[""mid"",""mid"",""rising"",""low""],""romanization"":""gaan sue-saan phit-phlaat""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ลูกค้าเข้าใจผิด"",""english"":""resulted in customer misunderstanding"",""tones"":[""low"",""rising"",""falling"",""high"",""high"",""falling"",""mid"",""low""],""romanization"":""song-phon hai luuk-khaa khao-jai phit""}]",hard
ระบบล่มบ่อย ส่งผลให้ผู้ใช้ไม่พอใจ,ra-bop lom boi song-phon hai song-phon hai phuu-chai mai phaaw-jai,Frequent system crashes resulted in user dissatisfaction.,"[{""thai"":""ระบบล่มบ่อย"",""english"":""the system crashed often"",""tones"":[""mid"",""low"",""low""],""romanization"":""ra-bop lom boi""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ผู้ใช้ไม่พอใจ"",""english"":""resulted in user dissatisfaction"",""tones"":[""low"",""rising"",""falling"",""low"",""high"",""falling"",""mid"",""mid""],""romanization"":""song-phon hai phuu-chai mai phaaw-jai""}]",hard
ทีมเปลี่ยนแผนกลางคัน ส่งผลให้งานล่าช้า,thiim bplian phaen glaang khan song-phon hai song-phon hai ngaan laa-chaa,The team changing plans midway resulted in delays.,"[{""thai"":""ทีมเปลี่ยนแผนกลางคัน"",""english"":""the team changed plans midway"",""tones"":[""mid"",""low"",""rising"",""mid"",""falling""],""romanization"":""thiim bplian phaen glaang khan""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""งานล่าช้า"",""english"":""resulted in delays"",""tones"":[""low"",""rising"",""falling"",""mid"",""falling"",""high""],""romanization"":""song-phon hai ngaan laa-chaa""}]",hard
บริษัทขยายเร็วเกินไป ส่งผลให้ควบคุมยากขึ้น,baw-ri-sat kha-yaai reo gern bpai song-phon hai song-phon hai khuaap-khum yaak kheun,Expanding too fast resulted in things becoming harder to control.,"[{""thai"":""บริษัทขยายเร็วเกินไป"",""english"":""the company expanded too fast"",""tones"":[""mid"",""low"",""low"",""low"",""mid"",""mid"",""mid""],""romanization"":""baw-ri-sat kha-yaai reo gern bpai""},{""thai"":""ส่งผลให้"",""english"":""result in / lead to"",""tones"":[""low"",""rising"",""falling""],""grammar"":true,""romanization"":""song-phon hai""},{""thai"":""ควบคุมยากขึ้น"",""english"":""resulted in things becoming harder to control"",""tones"":[""low"",""rising"",""falling"",""low"",""mid"",""falling"",""falling""],""romanization"":""song-phon hai khuaap-khum yaak kheun""}]",hard
