thai,romanization,english,breakdown,difficulty
ฉันไปตลาด,chǎn bpai dtà-làat,I'm going to the market.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ตลาด"",""english"":""market"",""tones"":[""low"",""low""],""romanization"":""dtà-làat""}]",easy
ผมไปทำงาน,phǒm bpai tham-ngaan,I'm going to work.,"[{""thai"":""ผม"",""english"":""I (male speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phǒm""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ทำงาน"",""english"":""work"",""tones"":[""mid"",""mid""],""romanization"":""tham-ngaan""}]",easy
คุณไปไหน,khun bpai nǎi,Where are you going?,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ไหน"",""english"":""where"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""nǎi""}]",easy
เขาไปโรงเรียน,khǎo bpai roong-rian,He's going to school.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""โรงเรียน"",""english"":""school"",""tones"":[""mid"",""mid""],""romanization"":""roong-rian""}]",easy
เธอไปห้องน้ำ,thoe bpai hâwng-náam,She's going to the bathroom.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ห้องน้ำ"",""english"":""bathroom"",""tones"":[""falling"",""high""],""romanization"":""hâwng-náam""}]",easy
เราไปกินข้าว,rao bpai kin khâao,We're going to eat.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ข้าว"",""english"":""food"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâao""}]",easy
พ่อไปร้านกาแฟ,phâw bpai ráan gaa-fae,Dad is going to the cafe.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phâw""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ร้านกาแฟ"",""english"":""cafe"",""tones"":[""high"",""mid"",""mid""],""romanization"":""ráan gaa-fae""}]",easy
แม่ไปธนาคาร,mâe bpai thá-naa-khaan,Mom is going to the bank.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""ธนาคาร"",""english"":""bank"",""tones"":[""high"",""mid"",""mid""],""romanization"":""thá-naa-khaan""}]",easy
เด็กไปหาครู,dèk bpai hǎa khruu,The child is going to see the teacher.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dèk""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""หา"",""english"":""go see"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hǎa""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""}]",easy
เพื่อนไปบ้านฉัน,phûean bpai bâan chǎn,My friend is going to my house.,"[{""thai"":""เพื่อน"",""english"":""my friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûean""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bpai""},{""thai"":""บ้าน"",""english"":""house"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâan""},{""thai"":""ฉัน"",""english"":""my"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""}]",easy
