thai,romanization,english,breakdown,difficulty
เขาอยากไปเที่ยวทะเล แต่ฝนตกหนัก,khǎo yàak pai thîao thalé tàe fǒn tòk nàk,"He wants to go to the beach, but it’s raining heavily.","[{""thai"":""เขาอยากไปเที่ยวทะเล"",""english"":""He wants to go to the beach"",""romanization"":""khǎo yàak pai thîao thalé""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ฝนตกหนัก"",""english"":""it’s raining heavily"",""tones"":[""rising"",""low"",""low""],""romanization"":""fǒn tòk nàk""}]",easy
เธอรักการทำอาหาร แต่ไม่ชอบล้างจาน,thoe rák gaan tham aahǎan tàe mâi chôp láang jaan,"She loves cooking, but doesn't like washing dishes.","[{""thai"":""เธอรักการทำอาหาร"",""english"":""She loves cooking"",""romanization"":""thoe rák gaan tham aahǎan""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ไม่ชอบล้างจาน"",""english"":""doesn't like washing dishes"",""romanization"":""mâi chôp láang jaan""}]",easy
เขามีเงินมาก แต่ไม่เคยบริจาคเลย,khǎo mii ngern mâak tàe mâi khoei bòrìjàak loei,"He has a lot of money, but never donates.","[{""thai"":""เขามีเงินมาก"",""english"":""He has a lot of money"",""romanization"":""khǎo mii ngern mâak""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ไม่เคยบริจาคเลย"",""english"":""never donates"",""romanization"":""mâi khoei bòrìjàak loei""}]",medium
แม้จะเป็นวันหยุด แต่ฉันยังต้องทำงาน,mɛ́ɛ jà pen wan yùt tàe chǎn yang tông tham-ngaan,"Even though it’s a holiday, I still have to work.","[{""thai"":""แม้จะเป็นวันหยุด"",""english"":""Even though it’s a holiday"",""romanization"":""mɛ́ɛ jà pen wan yùt""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ฉันยังต้องทำงาน"",""english"":""I still have to work"",""romanization"":""chǎn yang tông tham-ngaan""}]",medium
เขาเรียนหนักมาก ทว่าไม่ค่อยสอบผ่าน,khǎo rian nàk mâak tháwâa mâi khâwy sòp phàan,"He studies very hard, however, he rarely passes exams.","[{""thai"":""เขาเรียนหนักมาก"",""english"":""He studies very hard"",""romanization"":""khǎo rian nàk mâak""},{""thai"":""ทว่า"",""english"":""however"",""grammar"":true,""romanization"":""tháwâa""},{""thai"":""ไม่ค่อยสอบผ่าน"",""english"":""rarely passes exams"",""tones"":[""falling"",""falling"",""low"",""low""],""romanization"":""mâi khâwy sòp phàan""}]",medium
ฉันชอบออกกำลังกาย แต่ไม่ชอบวิ่ง,chǎn chôp òrk-gamlang-gaai tàe mâi chôp wîng,"I like exercising, but I don't like running.","[{""thai"":""ฉันชอบออกกำลังกาย"",""english"":""I like exercising"",""romanization"":""chǎn chôp òrk-gamlang-gaai""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ไม่ชอบวิ่ง"",""english"":""don't like running"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""mâi chôp wîng""}]",easy
เขามีความสามารถมาก ทว่าเขาไม่มั่นใจ,khǎo mii khwaam sàamáat mâak tháwâa khǎo mâi mânjai,"He is very capable, however, he lacks confidence.","[{""thai"":""เขามีความสามารถมาก"",""english"":""He is very capable"",""romanization"":""khǎo mii khwaam sàamáat mâak""},{""thai"":""ทว่า"",""english"":""however"",""grammar"":true,""romanization"":""tháwâa""},{""thai"":""เขาไม่มั่นใจ"",""english"":""he lacks confidence"",""tones"":[""rising"",""falling"",""falling""],""romanization"":""khǎo mâi mânjai""}]",hard
ฉันอยากไปเรียนต่อเมืองนอก แต่ยังต้องเก็บเงินก่อน,chǎn yàak pai rian tòr muang-nôk tàe yang tông gèp ngern gòn,"I want to study abroad, but I need to save money first.","[{""thai"":""ฉันอยากไปเรียนต่อเมืองนอก"",""english"":""I want to study abroad"",""romanization"":""chǎn yàak pai rian tòr muang-nôk""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""ยังต้องเก็บเงินก่อน"",""english"":""I need to save money first"",""romanization"":""yang tông gèp ngern gòn""}]",hard
เขาหัวเราะ แต่เขาไม่ได้ตลกจริงๆ,khǎo hǔaró tàe khǎo mâi dâai talòk jing-jing,"He laughed, but he wasn't really amused.","[{""thai"":""เขาหัวเราะ"",""english"":""He laughed"",""romanization"":""khǎo hǔaró""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàe""},{""thai"":""เขาไม่ได้ตลกจริงๆ"",""english"":""he wasn't really amused"",""romanization"":""khǎo mâi dâai talòk jing-jing""}]",medium
เราวางแผนจะไปเที่ยวญี่ปุ่น ทว่าไม่มีเวลา,rao waang phǎan jà pai thîao yîipùn tháwâa mâi mii weelaa,"We plan to travel to Japan, however, we don't have time.","[{""thai"":""เราวางแผนจะไปเที่ยวญี่ปุ่น"",""english"":""We plan to travel to Japan"",""romanization"":""rao waang phǎan jà pai thîao yîipùn""},{""thai"":""ทว่า"",""english"":""however"",""grammar"":true,""romanization"":""tháwâa""},{""thai"":""ไม่มีเวลา"",""english"":""we don't have time"",""romanization"":""mâi mii weelaa""}]",hard
