thai,romanization,english,breakdown,difficulty
ฉันถูกเลื่อนนัด,chan thuk luean nat,My appointment got postponed on me.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""เลื่อนนัด"",""english"":""have an appointment postponed"",""tones"":[""falling"",""high""],""romanization"":""lûean nát""}]",hard
ฉันถูกเลื่อนนัด,chan thuuk luean nat,I had my appointment postponed.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""เลื่อนนัด"",""english"":""had my appointment postponed"",""tones"":[""falling"",""high""],""romanization"":""luean nat""}]",hard
เขาถูกเปลี่ยนที่นั่ง,khao thuuk plian thii nang,He had his seat changed.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""เปลี่ยนที่นั่ง"",""english"":""had his seat changed"",""tones"":[""low"",""falling"",""falling""],""romanization"":""plian thii nang""}]",hard
เราถูกย้ายห้องประชุม,rao thuuk yaai haawng bpra-chum,We had the meeting room changed.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""ย้ายห้องประชุม"",""english"":""had the meeting room changed"",""tones"":[""falling"",""falling"",""low"",""mid""],""romanization"":""yaai haawng bpra-chum""}]",hard
เธอถูกเลื่อนวันส่งงาน,hoe thuuk luean wan song ngaan,She had the submission date moved.,"[{""thai"":""เธอ"",""english"":""she / you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""hoe""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""เลื่อนวันส่งงาน"",""english"":""had the submission date moved"",""tones"":[""falling"",""mid"",""low"",""mid""],""romanization"":""luean wan song ngaan""}]",hard
ทีมนี้ถูกตัดงบอีกแล้ว,thiim nii thuuk dtat ngop iik laeo,This team had its budget cut again.,"[{""thai"":""ทีมนี้"",""english"":""this team"",""tones"":[""mid"",""high""],""romanization"":""thiim nii""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""ตัดงบอีกแล้ว"",""english"":""had its budget cut again"",""tones"":[""low"",""low"",""mid"",""falling""],""romanization"":""dtat ngop iik laeo""}]",hard
ลูกค้าถูกเลื่อนวันส่งของ,luuk-khaa thuuk luean wan song khaawng,The customer had the delivery date moved.,"[{""thai"":""ลูกค้า"",""english"":""customer"",""tones"":[""high"",""high""],""romanization"":""luuk-khaa""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""เลื่อนวันส่งของ"",""english"":""had the delivery date moved"",""tones"":[""falling"",""mid"",""low"",""rising""],""romanization"":""luean wan song khaawng""}]",hard
พนักงานใหม่ถูกเปลี่ยนหัวหน้า,pha-nak-ngaan mai thuuk plian hua-naa,The new employee had their manager changed.,"[{""thai"":""พนักงานใหม่"",""english"":""new employee"",""tones"":[""mid"",""high"",""mid"",""falling""],""romanization"":""pha-nak-ngaan mai""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""เปลี่ยนหัวหน้า"",""english"":""had their manager changed"",""tones"":[""low"",""rising"",""falling""],""romanization"":""plian hua-naa""}]",hard
เขาถูกตัดชื่อออกจากรายชื่อ,khao thuuk dtat chue aawk jaak raai chue,He had his name removed from the list.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""ตัดชื่อออกจากรายชื่อ"",""english"":""had his name removed from the list"",""tones"":[""low"",""falling"",""low"",""low"",""mid"",""falling""],""romanization"":""dtat chue aawk jaak raai chue""}]",hard
เราถูกขอให้แก้แผนใหม่,rao thuuk khaaw hai gae phaen mai,We were asked to revise the plan.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuuk""},{""thai"":""ขอให้แก้แผนใหม่"",""english"":""were asked to revise the plan"",""tones"":[""falling"",""falling"",""falling"",""rising"",""falling""],""romanization"":""khaaw hai gae phaen mai""}]",hard
