thai,romanization,english,breakdown,difficulty
มีเพียงสามคนเท่านั้น,mi phiang sam khon thao nan,There are only three people.,"[{""thai"":""มี"",""english"":""there are"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mi""},{""thai"":""เพียง"",""english"":""only / merely"",""grammar"":true,""romanization"":""phiang""},{""thai"":""สามคน"",""english"":""three people"",""romanization"":""sam khon""},{""thai"":""เท่านั้น"",""english"":""only that much"",""grammar"":true,""romanization"":""thao nan""}]",hard
มีเพียงสามคนเท่านั้น,mii phiiang saam khon thao nan,There are only three people.,"[{""thai"":""มี"",""english"":""there are"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mii""},{""thai"":""เพียงสามคนเท่านั้น"",""english"":""only three people"",""tones"":[""mid"",""rising"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang saam khon thao nan""}]",medium
ฉันต้องการเวลาเพียงวันเดียวเท่านั้น,chan tong-gaan wee-laa phiiang wan diao thao nan,I only need one day.,"[{""thai"":""ฉันต้องการเวลา"",""english"":""I need time"",""tones"":[""rising"",""falling"",""mid""],""romanization"":""chan tong-gaan wee-laa""},{""thai"":""เพียงวันเดียวเท่านั้น"",""english"":""only one day"",""tones"":[""mid"",""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang wan diao thao nan""}]",medium
วันนี้เรามีประชุมเพียงรอบเดียวเท่านั้น,wan nii rao mii bpra-chum phiiang rop diao thao nan,Today we only have one meeting.,"[{""thai"":""วันนี้เรามีประชุม"",""english"":""today we have a meeting"",""tones"":[""mid"",""high"",""mid"",""mid"",""mid""],""romanization"":""wan nii rao mii bpra-chum""},{""thai"":""เพียงรอบเดียวเท่านั้น"",""english"":""only one session"",""tones"":[""mid"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang rop diao thao nan""}]",medium
ร้านนี้รับจองเพียงทางออนไลน์เท่านั้น,raan nii rap jong phiiang thaang on-lai thao nan,This place takes reservations only online.,"[{""thai"":""ร้านนี้รับจอง"",""english"":""this place takes reservations"",""tones"":[""high"",""high"",""high"",""mid""],""romanization"":""raan nii rap jong""},{""thai"":""เพียงทางออนไลน์เท่านั้น"",""english"":""only online"",""tones"":[""mid"",""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang thaang on-lai thao nan""}]",medium
เขาพูดเพียงประโยคสั้นๆ เท่านั้น,khao phuut phiiang bpra-yok san san thao nan,He said only a short sentence.,"[{""thai"":""เขาพูด"",""english"":""he said"",""tones"":[""rising"",""falling""],""romanization"":""khao phuut""},{""thai"":""เพียงประโยคสั้นๆ เท่านั้น"",""english"":""only a short sentence"",""tones"":[""mid"",""falling"",""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""phiiang bpra-yok san san thao nan""}]",medium
ห้องนี้ใช้ได้เพียงชั่วคราวเท่านั้น,hong nii chai dai phiiang chua-khraao thao nan,This room can only be used temporarily.,"[{""thai"":""ห้องนี้ใช้ได้"",""english"":""this room can be used"",""tones"":[""falling"",""high"",""high"",""mid""],""romanization"":""hong nii chai dai""},{""thai"":""เพียงชั่วคราวเท่านั้น"",""english"":""only temporarily"",""tones"":[""mid"",""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang chua-khraao thao nan""}]",medium
โครงการนี้เปิดรับเพียงสิบทีมเท่านั้น,khroong-gaan nii bpoet rap phiiang sip thiim thao nan,This project accepts only ten teams.,"[{""thai"":""โครงการนี้เปิดรับ"",""english"":""this project accepts"",""tones"":[""mid"",""mid"",""high"",""low"",""high""],""romanization"":""khroong-gaan nii bpoet rap""},{""thai"":""เพียงสิบทีมเท่านั้น"",""english"":""only ten teams"",""tones"":[""mid"",""low"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang sip thiim thao nan""}]",medium
ฉันอ่านได้เพียงครึ่งเดียวเท่านั้น,chan aan dai phiiang khrueng diao thao nan,I could read only half of it.,"[{""thai"":""ฉันอ่านได้"",""english"":""I could read"",""tones"":[""rising"",""low"",""mid""],""romanization"":""chan aan dai""},{""thai"":""เพียงครึ่งเดียวเท่านั้น"",""english"":""only half"",""tones"":[""mid"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang khrueng diao thao nan""}]",medium
งานวันนี้ใช้เวลาเพียงครึ่งชั่วโมงเท่านั้น,ngaan wan nii chai wee-laa phiiang khrueng chua-moong thao nan,Today's work takes only half an hour.,"[{""thai"":""งานวันนี้ใช้เวลา"",""english"":""today's work takes time"",""tones"":[""mid"",""mid"",""high"",""high"",""mid"",""mid""],""romanization"":""ngaan wan nii chai wee-laa""},{""thai"":""เพียงครึ่งชั่วโมงเท่านั้น"",""english"":""only half an hour"",""tones"":[""mid"",""falling"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""phiiang khrueng chua-moong thao nan""}]",medium
