thai,romanization,english,breakdown,difficulty
การที่เขามาช้าคือปัญหา,kan thi khao ma cha khue panha,The problem is that he arrived late.,"[{""thai"":""การที่"",""english"":""the fact that"",""grammar"":true,""romanization"":""kan thi""},{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""มาช้า"",""english"":""arrive late"",""romanization"":""ma chá""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ปัญหา"",""english"":""problem"",""tones"":[""high""],""tone"":""high"",""romanization"":""panhá""}]",hard
การที่เขามาสายคือปัญหา,gaan-thii khao maa saai khue bpan-haa,The problem is that he arrived late.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""เขามาสาย"",""english"":""he arrived late"",""tones"":[""high"",""mid"",""rising""],""romanization"":""khao maa saai""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ปัญหา"",""english"":""problem"",""tones"":[""mid"",""rising""],""romanization"":""bpan-haa""}]",hard
การที่ทีมตอบช้าคือสาเหตุหลัก,gaan-thii thiim dtaawp chaa khue sa-h?t lak,The main cause is that the team responds slowly.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""ทีมตอบช้า"",""english"":""the team responds slowly"",""tones"":[""mid"",""falling"",""high""],""romanization"":""thiim dtaawp chaa""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""สาเหตุหลัก"",""english"":""main cause"",""tones"":[""mid"",""low"",""high""],""romanization"":""sa-h?t lak""}]",hard
การที่ลูกค้าไม่เข้าใจคือความเสี่ยง,gaan-thii luuk-khaa mai khao-jai khue khwaam siang,The risk is that the customer does not understand.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""ลูกค้าไม่เข้าใจ"",""english"":""the customer does not understand"",""tones"":[""high"",""high"",""falling"",""falling"",""mid""],""romanization"":""luuk-khaa mai khao-jai""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ความเสี่ยง"",""english"":""risk"",""tones"":[""mid"",""low""],""romanization"":""khwaam siang""}]",hard
การที่เราขาดข้อมูลคืออุปสรรค,gaan-thii rao khaat khaaw-muun khue u-bpat-sak,The obstacle is that we lack information.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""เราขาดข้อมูล"",""english"":""we lack information"",""tones"":[""mid"",""low"",""falling"",""rising""],""romanization"":""rao khaat khaaw-muun""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""อุปสรรค"",""english"":""obstacle"",""tones"":[""low"",""low"",""low""],""romanization"":""u-bpat-sak""}]",hard
การที่ระบบล่มบ่อยคือเรื่องน่ากังวล,gaan-thii ra-bop lom boi khue rueang naa gang-won,What is worrying is that the system crashes often.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""ระบบล่มบ่อย"",""english"":""the system crashes often"",""tones"":[""mid"",""low"",""low""],""romanization"":""ra-bop lom boi""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เรื่องน่ากังวล"",""english"":""something worrying"",""tones"":[""falling"",""falling"",""mid"",""mid""],""romanization"":""rueang naa gang-won""}]",hard
การที่เธอฟังลูกค้าคือจุดแข็ง,gaan-thii hoe fang luuk-khaa khue jut khaeng,Her strength is that she listens to customers.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""เธอฟังลูกค้า"",""english"":""she listens to customers"",""tones"":[""mid"",""mid"",""high"",""high""],""romanization"":""hoe fang luuk-khaa""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""จุดแข็ง"",""english"":""strength"",""tones"":[""low"",""rising""],""romanization"":""jut khaeng""}]",hard
การที่เขากลับมาช่วยคือข่าวดี,gaan-thii khao glap maa chuai khue khaao dii,The good news is that he came back to help.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""เขากลับมาช่วย"",""english"":""he came back to help"",""tones"":[""high"",""low"",""mid"",""falling""],""romanization"":""khao glap maa chuai""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ข่าวดี"",""english"":""good news"",""tones"":[""falling"",""mid""],""romanization"":""khaao dii""}]",hard
การที่ยอดขายลดลงคือสัญญาณเตือน,gaan-thii yawt-khaai lot long khue san-yaan tuean,The warning sign is that sales dropped.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""ยอดขายลดลง"",""english"":""sales dropped"",""tones"":[""falling"",""rising"",""low"",""mid""],""romanization"":""yawt-khaai lot long""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""สัญญาณเตือน"",""english"":""warning sign"",""tones"":[""low"",""mid"",""mid""],""romanization"":""san-yaan tuean""}]",hard
การที่บริษัทลงทุนเพิ่มคือเรื่องสำคัญ,gaan-thii baw-ri-sat long-thuun phern khue rueang sam-khan,What matters is that the company invested more.,"[{""thai"":""การที่"",""english"":""the fact that"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""gaan-thii""},{""thai"":""บริษัทลงทุนเพิ่ม"",""english"":""the company invested more"",""tones"":[""mid"",""low"",""low"",""mid"",""mid""],""romanization"":""baw-ri-sat long-thuun phern""},{""thai"":""คือ"",""english"":""is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เรื่องสำคัญ"",""english"":""something important"",""tones"":[""falling"",""rising"",""mid""],""romanization"":""rueang sam-khan""}]",hard
