thai,romanization,english,breakdown,difficulty
เขาน่าจะรู้แล้ว,khao na cha ru laeo,He probably knows by now.,"[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""probably / should be likely"",""grammar"":true,""romanization"":""na cha""},{""thai"":""รู้"",""english"":""know"",""tones"":[""high""],""tone"":""high"",""romanization"":""ru""},{""thai"":""แล้ว"",""english"":""already / by now"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""laeo""}]",hard
เขาน่าจะรู้แล้ว,khao naa ja ruu laeo,He should know already.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""should probably / is likely to"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""รู้แล้ว"",""english"":""know already"",""tones"":[""high"",""high""],""romanization"":""ruu laeo""}]",easy
ฝนน่าจะหยุดบ่ายนี้,fon naa ja yut baai nii,The rain should stop this afternoon.,"[{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""น่าจะ"",""english"":""is likely to"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""หยุดบ่ายนี้"",""english"":""stop this afternoon"",""tones"":[""low"",""falling"",""high""],""romanization"":""yut baai nii""}]",medium
ร้านนี้น่าจะเปิดแล้ว,raan nii naa ja bpoet laeo,This shop should be open by now.,"[{""thai"":""ร้านนี้"",""english"":""this shop"",""tones"":[""high"",""high""],""romanization"":""raan nii""},{""thai"":""น่าจะ"",""english"":""should probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""เปิดแล้ว"",""english"":""be open already"",""tones"":[""low"",""high""],""romanization"":""bpoet laeo""}]",easy
เธอน่าจะถึงก่อนเรา,thoe naa ja thueng gawn rao,She should arrive before us.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""น่าจะ"",""english"":""should probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""ถึงก่อนเรา"",""english"":""arrive before us"",""tones"":[""rising"",""low"",""mid""],""romanization"":""thueng gawn rao""}]",medium
พ่อน่าจะหาที่จอดได้,phaw naa ja haa thii-jot dai,Dad should be able to find parking.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""น่าจะ"",""english"":""should probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""หาที่จอดได้"",""english"":""find parking"",""tones"":[""rising"",""falling"",""low"",""falling""],""romanization"":""haa thii-jot dai""}]",medium
แม่น่าจะชอบร้านนี้,mae naa ja chop raan nii,Mom will probably like this place.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""น่าจะ"",""english"":""will probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""ชอบร้านนี้"",""english"":""like this place"",""tones"":[""falling"",""high"",""high""],""romanization"":""chop raan nii""}]",easy
เขาน่าจะกำลังประชุมอยู่,khao naa ja kamlang bpra-chum yuu,He's probably in a meeting right now.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""is probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""กำลังประชุมอยู่"",""english"":""in a meeting"",""tones"":[""mid"",""mid"",""low"",""mid"",""low""],""romanization"":""kamlang bpra-chum yuu""}]",medium
เรื่องนี้น่าจะง่ายกว่าเดิม,rueang nii naa ja ngaai gwaa doem,This should be easier than before.,"[{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""high""],""romanization"":""rueang nii""},{""thai"":""น่าจะ"",""english"":""should probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""ง่ายกว่าเดิม"",""english"":""easier than before"",""tones"":[""falling"",""low"",""mid""],""romanization"":""ngaai gwaa doem""}]",medium
เราน่าจะไปทางนี้ได้,rao naa ja bpai thaang nii dai,We should be able to go this way.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""น่าจะ"",""english"":""should probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa ja""},{""thai"":""ไปทางนี้ได้"",""english"":""go this way"",""tones"":[""mid"",""mid"",""high"",""falling""],""romanization"":""bpai thaang nii dai""}]",medium
