thai,romanization,english,breakdown,difficulty
ดีเลย,di loei,That's great / perfect.,"[{""thai"":""ดี"",""english"":""good"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""di""},{""thai"":""เลย"",""english"":""emphatic particle"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",hard
วันนี้เหนื่อยเลย,wan nii nueai loei,I'm really tired today.,"[{""thai"":""วันนี้เหนื่อย"",""english"":""today I'm tired"",""tones"":[""mid"",""high"",""falling""],""romanization"":""wan nii nueai""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
ร้านนี้อร่อยมากเลย,raan nii a-roi maak loei,This place is really delicious.,"[{""thai"":""ร้านนี้อร่อยมาก"",""english"":""this place is very delicious"",""tones"":[""high"",""high"",""low"",""low"",""high""],""romanization"":""raan nii a-roi maak""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
ฉันไม่รู้เลย,chan mai ruu loei,I really don't know.,"[{""thai"":""ฉันไม่รู้"",""english"":""I don't know"",""tones"":[""rising"",""falling"",""high""],""romanization"":""chan mai ruu""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
เขาไม่ตอบเลย,khao mai dtop loei,He didn't reply at all.,"[{""thai"":""เขาไม่ตอบ"",""english"":""he didn't reply"",""tones"":[""rising"",""falling"",""low""],""romanization"":""khao mai dtop""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
คืนนี้ฝนตกหนักเลย,khuen nii fon dtok nak loei,It's raining really hard tonight.,"[{""thai"":""คืนนี้ฝนตกหนัก"",""english"":""tonight the rain is heavy"",""tones"":[""falling"",""high"",""rising"",""low"",""high""],""romanization"":""khuen nii fon dtok nak""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
ข่าวนี้ทำให้ฉันตกใจมากเลย,khao nii tham hai chan dtok-jai maak loei,This news really shocked me.,"[{""thai"":""ข่าวนี้ทำให้ฉันตกใจมาก"",""english"":""this news shocked me a lot"",""tones"":[""high"",""high"",""mid"",""falling"",""rising"",""low"",""mid"",""high""],""romanization"":""khao nii tham hai chan dtok-jai maak""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
ห้องนี้เงียบเลย,hong nii ngiap loei,This room is really quiet.,"[{""thai"":""ห้องนี้เงียบ"",""english"":""this room is quiet"",""tones"":[""falling"",""high"",""low""],""romanization"":""hong nii ngiap""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
ฉันชอบเพลงนี้เลย,chan chop phleeng nii loei,I really like this song.,"[{""thai"":""ฉันชอบเพลงนี้"",""english"":""I like this song"",""tones"":[""rising"",""falling"",""mid"",""high""],""romanization"":""chan chop phleeng nii""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
เขาดูเหนื่อยเลย,khao duu nueai loei,He looks really tired.,"[{""thai"":""เขาดูเหนื่อย"",""english"":""he looks tired"",""tones"":[""rising"",""mid"",""falling""],""romanization"":""khao duu nueai""},{""thai"":""เลย"",""english"":""really / at all"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""loei""}]",medium
