thai,romanization,english,breakdown,difficulty
แบบนี้นะล่ะถึงยาก,baep ni na la thueng yak,This is exactly why it's difficult.,"[{""thai"":""แบบนี้"",""english"":""like this"",""romanization"":""baep ní""},{""thai"":""นะล่ะ"",""english"":""that's the point / that's why"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""ná là""},{""thai"":""ถึง"",""english"":""thus / to the point that"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""thǔeng""},{""thai"":""ยาก"",""english"":""difficult"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yâak""}]",hard
นี่นะล่ะคือปัญหาจริง,nii na la khue bpan-haa jing,This right here is the real problem.,"[{""thai"":""นี่"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""คือปัญหาจริง"",""english"":""is the real problem"",""tones"":[""mid"",""mid"",""high""],""romanization"":""khue bpan-haa jing""}]",hard
แบบนี้นะล่ะเรียกว่าชัดเจน,baep nii na la riiak waa chat-jen,This is exactly what you call clear.,"[{""thai"":""แบบนี้"",""english"":""like this"",""tones"":[""low"",""high""],""romanization"":""baep nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""เรียกว่าชัดเจน"",""english"":""is what you call clear"",""tones"":[""falling"",""falling"",""low"",""mid""],""romanization"":""riiak waa chat-jen""}]",hard
เขานะล่ะที่ช่วยฉันไว้,khao na la thii chuai chan wai,He's the one who helped me.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""ที่ช่วยฉันไว้"",""english"":""who helped me"",""tones"":[""mid"",""falling"",""rising"",""high""],""romanization"":""thii chuai chan wai""}]",hard
ตรงนี้นะล่ะที่ลูกค้ากังวล,dtrong nii na la thii luuk-khaa gang-won,This is the point the customer is worried about.,"[{""thai"":""ตรงนี้"",""english"":""this point"",""tones"":[""mid"",""high""],""romanization"":""dtrong nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""ที่ลูกค้ากังวล"",""english"":""that worries the customer"",""tones"":[""mid"",""falling"",""high"",""mid""],""romanization"":""thii luuk-khaa gang-won""}]",hard
เพราะช้าแบบนี้นะล่ะคนถึงบ่น,phraw chaa baep nii na la khon theung bon,This slowness is exactly why people complain.,"[{""thai"":""เพราะช้าแบบนี้"",""english"":""because it's this slow"",""tones"":[""high"",""high"",""low"",""high""],""romanization"":""phraw chaa baep nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""คนถึงบ่น"",""english"":""people complain"",""tones"":[""mid"",""rising"",""falling""],""romanization"":""khon theung bon""}]",hard
เรื่องเล็กๆ แบบนี้นะล่ะที่ทำให้งานช้า,rueang lek-lek baep nii na la thii tham hai ngaan chaa,These little things are what make the work slow.,"[{""thai"":""เรื่องเล็กๆ แบบนี้"",""english"":""little things like this"",""tones"":[""falling"",""high"",""high"",""low"",""high""],""romanization"":""rueang lek-lek baep nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""ที่ทำให้งานช้า"",""english"":""make the work slow"",""tones"":[""mid"",""mid"",""falling"",""mid"",""high""],""romanization"":""thii tham hai ngaan chaa""}]",hard
น้ำเสียงแบบนี้นะล่ะฟังแล้วไม่สบายใจ,nam-siang baep nii na la fang laeo mai sa-baai jai,This kind of tone of voice is what makes people uneasy.,"[{""thai"":""น้ำเสียงแบบนี้"",""english"":""a tone like this"",""tones"":[""high"",""rising"",""low"",""high""],""romanization"":""nam-siang baep nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""ฟังแล้วไม่สบายใจ"",""english"":""makes people feel uneasy"",""tones"":[""mid"",""high"",""falling"",""low"",""mid"",""mid""],""romanization"":""fang laeo mai sa-baai jai""}]",hard
นี่นะล่ะเหตุผลที่ฉันไม่รีบตอบ,nii na la haet-phon thii chan mai riip dtop,This is the reason I didn't rush to reply.,"[{""thai"":""นี่"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""nii""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""เหตุผลที่ฉันไม่รีบตอบ"",""english"":""the reason I didn't rush to reply"",""tones"":[""falling"",""rising"",""mid"",""rising"",""falling"",""falling"",""low""],""romanization"":""haet-phon thii chan mai riip dtop""}]",hard
เขานะล่ะเหมาะกับงานนี้ที่สุด,khao na la moh-gap ngaan nii thii-sut,He's exactly the right person for this job.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""นะล่ะ"",""english"":""that's exactly it / that's the point"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""na la""},{""thai"":""เหมาะกับงานนี้ที่สุด"",""english"":""is most suitable for this job"",""tones"":[""falling"",""low"",""mid"",""high"",""mid"",""low""],""romanization"":""moh-gap ngaan nii thii-sut""}]",hard
