thai,romanization,english,breakdown,difficulty
แม้แต่เด็กยังรู้,mae tae dek yang ru,Even a child knows.,"[{""thai"":""แม้แต่"",""english"":""even"",""grammar"":true,""romanization"":""mae tae""},{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ยัง"",""english"":""still / even"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yang""},{""thai"":""รู้"",""english"":""know"",""tones"":[""high""],""tone"":""high"",""romanization"":""ru""}]",hard
แม้แต่เด็กยังรู้,mae dtae dek yang ruu,Even a child knows.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""เด็ก"",""english"":""a child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ยังรู้"",""english"":""still knows"",""tones"":[""mid"",""high""],""romanization"":""yang ruu""}]",hard
แม้แต่พี่ยังทำไม่ได้,mae dtae phii yang tham mai dai,Even I still can't do it.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""พี่"",""english"":""I / older sibling"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phii""},{""thai"":""ยังทำไม่ได้"",""english"":""still can't do it"",""tones"":[""mid"",""mid"",""falling"",""mid""],""romanization"":""yang tham mai dai""}]",hard
แม้แต่ครูยังงง,mae dtae khruu yang ngong,Even the teacher is still confused.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ครู"",""english"":""the teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""ยังงง"",""english"":""is still confused"",""tones"":[""mid"",""mid""],""romanization"":""yang ngong""}]",hard
แม้แต่คนใกล้ตัวยังไม่รู้,mae dtae khon glai-dtua yang mai ruu,Even someone close to me still doesn't know.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""คนใกล้ตัว"",""english"":""someone close to me"",""tones"":[""mid"",""falling"",""mid""],""romanization"":""khon glai-dtua""},{""thai"":""ยังไม่รู้"",""english"":""still doesn't know"",""tones"":[""mid"",""falling"",""high""],""romanization"":""yang mai ruu""}]",hard
แม้แต่เขาเองก็ยังยอม,mae dtae khao eng gor yang yaawm,Even he himself gives in.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""เขาเอง"",""english"":""he himself"",""tones"":[""rising"",""mid""],""romanization"":""khao eng""},{""thai"":""ก็ยังยอม"",""english"":""still gives in"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""gor yang yaawm""}]",hard
แม้แต่วันนี้เขายังไม่ตอบ,mae dtae wan-nii khao yang mai dtop,Even today he still hasn't replied.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""romanization"":""wan-nii""},{""thai"":""เขายังไม่ตอบ"",""english"":""he still hasn't replied"",""tones"":[""rising"",""mid"",""falling"",""low""],""romanization"":""khao yang mai dtop""}]",hard
แม้แต่ชื่อฉันเขายังจำไม่ได้,mae dtae cheu chan khao yang jam mai dai,He can't even remember my name.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ชื่อฉัน"",""english"":""my name"",""tones"":[""mid"",""rising""],""romanization"":""cheu chan""},{""thai"":""เขายังจำไม่ได้"",""english"":""he still can't remember"",""tones"":[""rising"",""mid"",""mid"",""falling"",""mid""],""romanization"":""khao yang jam mai dai""}]",hard
แม้แต่ข้อความสั้นๆ เขายังอ่านไม่จบ,mae dtae khaw-khwaam san-san khao yang aan mai jop,He can't even finish reading a short message.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ข้อความสั้นๆ"",""english"":""a short message"",""tones"":[""falling"",""high"",""high""],""romanization"":""khaw-khwaam san-san""},{""thai"":""เขายังอ่านไม่จบ"",""english"":""he still can't finish reading"",""tones"":[""rising"",""mid"",""low"",""falling"",""low""],""romanization"":""khao yang aan mai jop""}]",hard
แม้แต่น้ำเปล่าเขาก็ไม่ดื่ม,mae dtae naam-bplao khao gor mai deum,He doesn't even drink plain water.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""น้ำเปล่า"",""english"":""plain water"",""tones"":[""high"",""low""],""romanization"":""naam-bplao""},{""thai"":""เขาก็ไม่ดื่ม"",""english"":""he doesn't even drink it"",""tones"":[""rising"",""falling"",""falling"",""mid""],""romanization"":""khao gor mai deum""}]",hard
แม้แต่เรื่องง่ายๆ เขายังถามซ้ำ,mae dtae rueang ngaai-ngaai khao yang thaam sam,He still asks again about even simple things.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""เรื่องง่ายๆ"",""english"":""simple things"",""tones"":[""falling"",""falling""],""romanization"":""rueang ngaai-ngaai""},{""thai"":""เขายังถามซ้ำ"",""english"":""he still asks again"",""tones"":[""rising"",""mid"",""rising"",""high""],""romanization"":""khao yang thaam sam""}]",hard
แม้แต่แม่ยังบ่น,mae dtae mae yang bon,Even Mom complains.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ยังบ่น"",""english"":""still complains"",""tones"":[""mid"",""falling""],""romanization"":""yang bon""}]",hard
แม้แต่คนเก่งแบบเขายังพลาด,mae dtae khon geng baep khao yang phlaat,Even someone as capable as him still makes mistakes.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""คนเก่งแบบเขา"",""english"":""someone capable like him"",""tones"":[""mid"",""falling"",""low"",""rising""],""romanization"":""khon geng baep khao""},{""thai"":""ยังพลาด"",""english"":""still makes mistakes"",""tones"":[""mid"",""falling""],""romanization"":""yang phlaat""}]",hard
แม้แต่วันหยุดเธอยังทำงาน,mae dtae wan-yut thoe yang tham-ngaan,Even on a day off she still works.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""วันหยุด"",""english"":""a day off"",""tones"":[""mid"",""low""],""romanization"":""wan-yut""},{""thai"":""เธอยังทำงาน"",""english"":""she still works"",""tones"":[""mid"",""mid"",""mid"",""mid""],""romanization"":""thoe yang tham-ngaan""}]",hard
แม้แต่ห้องเล็กๆ ก็ยังเต็ม,mae dtae hong lek-lek gor yang dtem,Even a small room is still full.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ห้องเล็กๆ"",""english"":""a small room"",""tones"":[""falling"",""high"",""high""],""romanization"":""hong lek-lek""},{""thai"":""ก็ยังเต็ม"",""english"":""is still full"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""gor yang dtem""}]",hard
แม้แต่ทางลัดเขายังไม่รู้,mae dtae thaang-lat khao yang mai ruu,He doesn't even know the shortcut.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ทางลัด"",""english"":""the shortcut"",""tones"":[""mid"",""high""],""romanization"":""thaang-lat""},{""thai"":""เขายังไม่รู้"",""english"":""he still doesn't know"",""tones"":[""rising"",""mid"",""falling"",""high""],""romanization"":""khao yang mai ruu""}]",hard
แม้แต่รอบแรกเรายังไม่ผ่าน,mae dtae rawp raek rao yang mai phaan,We didn't even pass the first round.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""รอบแรก"",""english"":""the first round"",""tones"":[""falling"",""falling""],""romanization"":""rawp raek""},{""thai"":""เรายังไม่ผ่าน"",""english"":""we still didn't pass"",""tones"":[""mid"",""mid"",""falling"",""falling""],""romanization"":""rao yang mai phaan""}]",hard
แม้แต่ลูกค้ายังสังเกตเห็น,mae dtae luuk-khaa yang sang-gaet hen,Even the customer notices it.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ลูกค้า"",""english"":""the customer"",""tones"":[""falling"",""high""],""romanization"":""luuk-khaa""},{""thai"":""ยังสังเกตเห็น"",""english"":""still notices it"",""tones"":[""mid"",""rising"",""low"",""rising""],""romanization"":""yang sang-gaet hen""}]",hard
แม้แต่ประโยคนี้เขายังแปลผิด,mae dtae bpra-yok nii khao yang bplae phit,He still translates even this sentence wrong.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""ประโยคนี้"",""english"":""this sentence"",""tones"":[""mid"",""falling"",""high""],""romanization"":""bpra-yok nii""},{""thai"":""เขายังแปลผิด"",""english"":""he still translates wrong"",""tones"":[""rising"",""mid"",""low"",""low""],""romanization"":""khao yang bplae phit""}]",hard
แม้แต่คนในทีมยังไม่เข้าใจ,mae dtae khon nai thiim yang mai khao-jai,Even the people on the team still don't understand.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""คนในทีม"",""english"":""people on the team"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""khon nai thiim""},{""thai"":""ยังไม่เข้าใจ"",""english"":""still don't understand"",""tones"":[""mid"",""falling"",""rising"",""mid""],""romanization"":""yang mai khao-jai""}]",hard
แม้แต่รูปง่ายๆ เด็กยังวาดได้,mae dtae ruup ngaai-ngaai dek yang waat dai,Even a child can draw a simple picture.,"[{""thai"":""แม้แต่"",""english"":""even"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mae dtae""},{""thai"":""รูปง่ายๆ"",""english"":""a simple picture"",""tones"":[""falling"",""falling""],""romanization"":""ruup ngaai-ngaai""},{""thai"":""เด็กยังวาดได้"",""english"":""a child can still draw it"",""tones"":[""low"",""mid"",""falling"",""mid""],""romanization"":""dek yang waat dai""}]",hard
