thai,romanization,english,breakdown,difficulty
หนาวถึงกับสั่น,nao thueng kap san,It's so cold that I'm shivering.,"[{""thai"":""หนาว"",""english"":""cold"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""náo""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""thǔeng kàp""},{""thai"":""สั่น"",""english"":""shiver"",""tones"":[""low""],""tone"":""low"",""romanization"":""sàn""}]",hard
ตกใจถึงกับพูดไม่ออก,dtok-jai theung gap phuut mai awk,He was so startled that he couldn't speak.,"[{""thai"":""ตกใจ"",""english"":""was startled"",""tones"":[""low"",""mid""],""romanization"":""dtok-jai""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""พูดไม่ออก"",""english"":""couldn't speak"",""tones"":[""falling"",""falling"",""low""],""romanization"":""phuut mai awk""}]",hard
เหนื่อยถึงกับนั่งลง,nueay theung gap nang long,He was so exhausted that he sat down.,"[{""thai"":""เหนื่อย"",""english"":""was exhausted"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nueay""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""นั่งลง"",""english"":""sat down"",""tones"":[""falling"",""mid""],""romanization"":""nang long""}]",hard
ดีใจถึงกับร้องไห้,dii-jai theung gap rong-hai,She was so happy that she cried.,"[{""thai"":""ดีใจ"",""english"":""was overjoyed"",""tones"":[""mid"",""mid""],""romanization"":""dii-jai""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ร้องไห้"",""english"":""cried"",""tones"":[""high"",""falling""],""romanization"":""rong-hai""}]",hard
รีบถึงกับลืมกระเป๋า,riip theung gap luem gra-bpao,He was so rushed that he forgot his bag.,"[{""thai"":""รีบ"",""english"":""was in a rush"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""riip""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ลืมกระเป๋า"",""english"":""forgot the bag"",""tones"":[""mid"",""low"",""rising""],""romanization"":""luem gra-bpao""}]",hard
ง่วงถึงกับหลับคาโต๊ะ,nguang theung gap lap khaa dto,He was so sleepy that he fell asleep at the desk.,"[{""thai"":""ง่วง"",""english"":""was sleepy"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nguang""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""หลับคาโต๊ะ"",""english"":""fell asleep at the desk"",""tones"":[""low"",""mid"",""mid""],""romanization"":""lap khaa dto""}]",hard
โกรธถึงกับเดินออกไป,grot theung gap dern awk bpai,She was so angry that she walked out.,"[{""thai"":""โกรธ"",""english"":""was angry"",""tones"":[""low""],""tone"":""low"",""romanization"":""grot""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""เดินออกไป"",""english"":""walked out"",""tones"":[""mid"",""low"",""mid""],""romanization"":""dern awk bpai""}]",hard
อายถึงกับไม่กล้ามองหน้า,aai theung gap mai glaa mawng naa,She was so embarrassed that she didn't dare look up.,"[{""thai"":""อาย"",""english"":""was embarrassed"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""aai""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ไม่กล้ามองหน้า"",""english"":""didn't dare look at anyone's face"",""tones"":[""falling"",""falling"",""mid"",""falling""],""romanization"":""mai glaa mawng naa""}]",hard
หนาวถึงกับมือชา,naao theung gap mue chaa,It was so cold that my hands went numb.,"[{""thai"":""หนาว"",""english"":""was cold"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""naao""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""มือชา"",""english"":""hands went numb"",""tones"":[""mid"",""high""],""romanization"":""mue chaa""}]",hard
ตกใจถึงกับทำแก้วตก,dtok-jai theung gap tham gaeo dtok,He was so startled that he dropped the glass.,"[{""thai"":""ตกใจ"",""english"":""was startled"",""tones"":[""low"",""mid""],""romanization"":""dtok-jai""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ทำแก้วตก"",""english"":""dropped the glass"",""tones"":[""mid"",""falling"",""low""],""romanization"":""tham gaeo dtok""}]",hard
เสียใจถึงกับไม่อยากพูด,sia-jai theung gap mai yaak phuut,She was so upset that she didn't want to talk.,"[{""thai"":""เสียใจ"",""english"":""was heartbroken"",""tones"":[""rising"",""mid""],""romanization"":""sia-jai""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ไม่อยากพูด"",""english"":""didn't want to talk"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""mai yaak phuut""}]",hard
หิวถึงกับมือสั่น,hiu theung gap mue san,He was so hungry that his hands shook.,"[{""thai"":""หิว"",""english"":""was hungry"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hiu""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""มือสั่น"",""english"":""hands shook"",""tones"":[""mid"",""low""],""romanization"":""mue san""}]",hard
เจ็บถึงกับยืนไม่ไหว,jep theung gap yeun mai wai,She was in so much pain that she couldn't stand.,"[{""thai"":""เจ็บ"",""english"":""was in pain"",""tones"":[""low""],""tone"":""low"",""romanization"":""jep""},{""thai"":""ถึงกับ"",""english"":""to the point of"",""tones"":[""rising"",""low""],""grammar"":true,""romanization"":""theung gap""},{""thai"":""ยืนไม่ไหว"",""english"":""couldn't stand"",""tones"":[""mid"",""falling"",""rising""],""romanization"":""yeun mai wai""}]",hard
