thai,romanization,english,breakdown,difficulty
ผลออกมาอย่างที่คิด,phon ok ma yang thi khit,The result came out as expected.,"[{""thai"":""ผล"",""english"":""result"",""romanization"":""phon""},{""thai"":""ออกมา"",""english"":""come out"",""romanization"":""òk ma""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""low"",""falling"",""high""],""grammar"":true,""romanization"":""yàang thî khít""}]",hard
ผลออกมาอย่างที่คิด,phon aawk maa yaang thii khit,The result came out as expected.,"[{""thai"":""ผลออกมา"",""english"":""the result came out"",""tones"":[""rising"",""low"",""mid""],""romanization"":""phon aawk maa""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
ร้านนี้แพงอย่างที่คิด,raan nii phaeng yaang thii khit,"This place is expensive, just as expected.","[{""thai"":""ร้านนี้แพง"",""english"":""this place is expensive"",""tones"":[""high"",""high"",""mid""],""romanization"":""raan nii phaeng""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
เรื่องนี้ยากอย่างที่คิด,rueang nii yaak yaang thii khit,"This matter is difficult, as expected.","[{""thai"":""เรื่องนี้ยาก"",""english"":""this matter is difficult"",""tones"":[""falling"",""high"",""falling""],""romanization"":""rueang nii yaak""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
งานวันนี้ยุ่งอย่างที่คิด,ngaan wan-nii yung yaang thii khit,"Work is busy today, as expected.","[{""thai"":""งานวันนี้ยุ่ง"",""english"":""work is busy today"",""tones"":[""mid"",""mid"",""high"",""falling""],""romanization"":""ngaan wan-nii yung""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
รถติดอย่างที่คิด,rot tit yaang thii khit,"Traffic is bad, just as expected.","[{""thai"":""รถติด"",""english"":""traffic is bad"",""tones"":[""high"",""low""],""romanization"":""rot tit""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
เขามาสายอย่างที่คิด,khao maa saai yaang thii khit,"He arrived late, as expected.","[{""thai"":""เขามาสาย"",""english"":""he arrived late"",""tones"":[""high"",""mid"",""rising""],""romanization"":""khao maa saai""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
ลูกค้าถามเรื่องราคาอย่างที่คิด,luuk-khaa thaam rueang raa-khaa yaang thii khit,"The customer asked about the price, as expected.","[{""thai"":""ลูกค้าถามเรื่องราคา"",""english"":""the customer asked about the price"",""tones"":[""high"",""high"",""falling"",""falling"",""mid"",""high""],""romanization"":""luuk-khaa thaam rueang raa-khaa""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",hard
ทีมนี้ทำงานเร็วอย่างที่คิด,thiim nii tham-ngaan reo yaang thii khit,"This team works quickly, as expected.","[{""thai"":""ทีมนี้ทำงานเร็ว"",""english"":""this team works quickly"",""tones"":[""mid"",""high"",""mid"",""mid"",""mid""],""romanization"":""thiim nii tham-ngaan reo""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
การประชุมยาวอย่างที่คิด,gaan bpra-chum yaao yaang thii khit,"The meeting was long, as expected.","[{""thai"":""การประชุมยาว"",""english"":""the meeting was long"",""tones"":[""mid"",""low"",""mid"",""mid""],""romanization"":""gaan bpra-chum yaao""},{""thai"":""อย่างที่คิด"",""english"":""as expected"",""tones"":[""falling"",""falling"",""high""],""grammar"":true,""romanization"":""yaang thii khit""}]",medium
